------------------------------------------------------------
Client connecting to 10.0.100.15, UDP port 5060 with pid 58 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.8%uesimtun0 port 45457 connected with 10.0.100.15 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 18:52:16 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.761 ms 0/13 (0%) 22.702/17.757/28.440/7.778 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.711 ms 0/11 (0%) 24.524/19.679/27.882/3.329 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.329 ms 0/12 (0%) 24.117/19.217/32.340/3.210 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   2.899 ms 0/11 (0%) 23.198/18.792/26.561/2.450 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.421 ms 0/11 (0%) 22.879/13.897/27.772/4.008 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.797 ms 0/12 (0%) 22.404/17.644/28.428/3.069 ms 12 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.674 ms 0/11 (0%) 24.249/18.300/29.830/3.131 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.128 ms 0/12 (0%) 21.710/17.340/26.128/2.727 ms 12 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.190 ms 0/11 (0%) 23.389/18.032/27.661/3.234 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.504 ms 0/12 (0%) 22.107/16.581/28.377/3.223 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.779 ms 0/11 (0%) 21.673/15.373/27.812/3.777 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   4.396 ms 0/11 (0%) 22.043/16.815/27.247/3.493 ms 11 pps 11/0(0) pkts 1
