------------------------------------------------------------
Client connecting to 10.0.100.11, UDP port 5060 with pid 59 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.3%uesimtun0 port 51792 connected with 10.0.100.11 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 18:52:15 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   0.994 ms 0/13 (0%) 24.906/22.218/27.653/7.594 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   1.959 ms 0/11 (0%) 22.985/19.399/27.491/2.753 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  15400 Bytes  123200 bits/sec   2.451 ms 0/11 (0%) 24.197/21.224/26.738/1.941 ms 11 pps 11/0(0) pkts 1
[ *1] 3.00-4.00 sec  16800 Bytes  134400 bits/sec   2.563 ms 0/12 (0%) 23.235/18.643/27.502/2.890 ms 11 pps 12/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   2.527 ms 0/11 (0%) 22.699/16.935/25.798/2.550 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   2.847 ms 0/12 (0%) 22.797/19.725/27.529/2.681 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.259 ms 0/11 (0%) 24.635/19.587/31.178/3.735 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.997 ms 0/12 (0%) 22.304/14.576/26.737/3.447 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.417 ms 0/11 (0%) 24.022/19.015/26.906/2.137 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  15400 Bytes  123200 bits/sec   3.028 ms 0/11 (0%) 24.111/20.708/28.800/2.162 ms 11 pps 11/0(0) pkts 1
[ *1] 10.00-11.00 sec  16800 Bytes  134400 bits/sec   2.412 ms 0/12 (0%) 22.720/19.664/26.749/2.550 ms 11 pps 12/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.133 ms 0/11 (0%) 21.654/16.179/26.841/3.517 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.639 ms 0/12 (0%) 24.245/18.288/29.311/3.161 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.711 ms 0/11 (0%) 24.989/16.897/28.508/3.605 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   4.124 ms 0/12 (0%) 24.328/17.629/30.778/3.829 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.329 ms 0/11 (0%) 21.577/18.289/25.129/2.622 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   4.369 ms 0/12 (0%) 22.719/17.752/29.447/3.928 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   4.598 ms 0/11 (0%) 23.992/19.019/33.313/4.000 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.607 ms 0/11 (0%) 24.257/20.192/29.263/2.705 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   2.943 ms 0/12 (0%) 23.881/19.579/28.666/3.177 ms 12 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.024 ms 0/11 (0%) 22.600/17.447/26.549/2.499 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   2.461 ms 0/12 (0%) 22.137/18.523/26.349/2.712 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.071 ms 0/11 (0%) 23.172/19.559/26.537/2.480 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  15400 Bytes  123200 bits/sec   3.878 ms 0/11 (0%) 21.646/13.579/26.298/3.644 ms 11 pps 11/0(0) pkts 1
[ *1] 24.00-25.00 sec  16800 Bytes  134400 bits/sec   3.738 ms 0/12 (0%) 24.235/19.678/29.033/2.590 ms 11 pps 12/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   4.614 ms 0/11 (0%) 23.604/16.248/29.463/4.568 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.310 ms 0/12 (0%) 22.838/20.267/26.616/2.205 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.227 ms 0/11 (0%) 23.739/18.291/26.995/2.617 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   2.899 ms 0/12 (0%) 22.805/19.253/29.260/2.992 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.163 ms 0/11 (0%) 23.944/19.878/27.482/2.227 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   2.571 ms 0/12 (0%) 21.161/17.978/25.893/2.443 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   2.425 ms 0/11 (0%) 22.742/19.987/25.506/1.961 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   2.613 ms 0/11 (0%) 22.720/19.537/26.761/2.316 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   2.275 ms 0/12 (0%) 23.850/21.013/25.786/1.648 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   2.488 ms 0/11 (0%) 24.162/19.020/27.834/2.583 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.280 ms 0/12 (0%) 23.940/17.655/27.572/2.901 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   3.004 ms 0/11 (0%) 22.221/16.196/25.507/2.643 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  15400 Bytes  123200 bits/sec   2.946 ms 0/11 (0%) 23.056/19.167/28.964/3.026 ms 11 pps 11/0(0) pkts 1
[ *1] 38.00-39.00 sec  16800 Bytes  134400 bits/sec   3.157 ms 0/12 (0%) 25.098/21.030/30.768/2.709 ms 11 pps 12/0(0) pkts 1
