------------------------------------------------------------
Client connecting to 10.0.100.11, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.2%uesimtun0 port 56440 connected with 10.0.100.11 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 20:28:57 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.377 ms 0/13 (0%) 21.798/16.626/26.073/6.677 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   1.763 ms 0/11 (0%) 23.732/17.887/27.830/2.616 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  15400 Bytes  123200 bits/sec   2.327 ms 0/11 (0%) 24.413/19.144/29.450/3.777 ms 11 pps 11/0(0) pkts 1
[ *1] 3.00-4.00 sec  16800 Bytes  134400 bits/sec   3.746 ms 0/12 (0%) 24.471/17.262/30.004/3.723 ms 11 pps 12/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.848 ms 0/11 (0%) 22.221/17.062/27.548/3.130 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.186 ms 0/12 (0%) 24.143/19.887/29.730/3.032 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   4.191 ms 0/11 (0%) 23.947/17.229/29.291/3.977 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.404 ms 0/12 (0%) 23.887/20.925/28.020/2.273 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   4.250 ms 0/11 (0%) 22.602/11.559/28.957/4.875 ms 12 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.763 ms 0/12 (0%) 23.308/19.072/28.938/2.627 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   2.615 ms 0/11 (0%) 23.246/18.915/25.495/1.832 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.633 ms 0/11 (0%) 24.680/19.108/32.805/4.079 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.363 ms 0/12 (0%) 23.766/18.953/29.132/2.709 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.259 ms 0/11 (0%) 23.456/19.785/27.932/2.543 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.316 ms 0/12 (0%) 22.295/18.384/26.521/2.683 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   2.838 ms 0/11 (0%) 22.499/18.131/25.257/2.141 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  15400 Bytes  123200 bits/sec   3.634 ms 0/11 (0%) 22.075/17.311/29.088/3.672 ms 11 pps 11/0(0) pkts 1
[ *1] 17.00-18.00 sec  16800 Bytes  134400 bits/sec   3.883 ms 0/12 (0%) 23.144/16.856/29.678/3.895 ms 11 pps 12/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   4.519 ms 0/11 (0%) 24.835/18.621/29.564/4.248 ms 12 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   4.510 ms 0/12 (0%) 23.228/18.339/30.176/4.185 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.319 ms 0/11 (0%) 23.643/20.571/25.362/1.617 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.241 ms 0/12 (0%) 24.431/19.282/27.636/2.536 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   2.966 ms 0/11 (0%) 23.227/17.778/26.034/2.743 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  15400 Bytes  123200 bits/sec   3.769 ms 0/11 (0%) 24.033/19.344/29.532/3.455 ms 11 pps 11/0(0) pkts 1
[ *1] 24.00-25.00 sec  16800 Bytes  134400 bits/sec   2.887 ms 0/12 (0%) 22.876/19.738/26.378/2.097 ms 11 pps 12/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.110 ms 0/11 (0%) 23.320/19.703/30.636/3.099 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.051 ms 0/12 (0%) 23.872/19.401/30.832/3.468 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.709 ms 0/11 (0%) 21.054/13.533/25.141/3.983 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.846 ms 0/12 (0%) 24.140/17.950/29.448/3.354 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.702 ms 0/11 (0%) 22.679/17.161/28.481/2.905 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  15400 Bytes  123200 bits/sec   3.574 ms 0/11 (0%) 23.253/18.255/28.942/3.086 ms 11 pps 11/0(0) pkts 1
[ *1] 31.00-32.00 sec  16800 Bytes  134400 bits/sec   2.990 ms 0/12 (0%) 23.289/19.923/26.558/1.974 ms 11 pps 12/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   3.604 ms 0/11 (0%) 22.743/16.831/27.785/3.263 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   2.833 ms 0/12 (0%) 24.481/20.339/29.231/2.591 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   3.517 ms 0/11 (0%) 23.035/19.342/27.226/2.650 ms 12 pps 11/0(0) pkts 1
