------------------------------------------------------------
Client connecting to 10.0.100.7, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.4%uesimtun0 port 57807 connected with 10.0.100.7 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 20:28:56 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.960 ms 0/13 (0%) 23.272/18.420/29.144/6.394 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.366 ms 0/11 (0%) 22.386/19.585/26.095/2.026 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  15400 Bytes  123200 bits/sec   2.581 ms 0/11 (0%) 23.014/19.113/28.944/2.581 ms 11 pps 11/0(0) pkts 1
[ *1] 3.00-4.00 sec  16800 Bytes  134400 bits/sec   2.859 ms 0/12 (0%) 23.905/20.393/31.660/3.029 ms 11 pps 12/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.819 ms 0/11 (0%) 23.463/13.054/28.615/4.188 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   4.242 ms 0/12 (0%) 25.404/20.760/30.178/3.678 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.216 ms 0/11 (0%) 23.267/19.138/26.595/1.996 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   2.528 ms 0/12 (0%) 22.875/19.168/25.940/2.014 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.326 ms 0/11 (0%) 25.636/19.922/30.282/2.913 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.409 ms 0/12 (0%) 23.641/18.269/29.087/3.235 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.401 ms 0/11 (0%) 23.150/19.200/26.930/2.885 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   2.658 ms 0/11 (0%) 23.423/19.668/27.214/2.157 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   2.777 ms 0/12 (0%) 24.987/21.975/28.935/2.361 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.882 ms 0/11 (0%) 23.068/18.016/29.776/3.729 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   4.228 ms 0/12 (0%) 23.671/19.360/28.126/2.786 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.584 ms 0/11 (0%) 24.396/17.902/28.811/3.318 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.350 ms 0/12 (0%) 22.720/19.453/26.311/2.227 ms 12 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.560 ms 0/11 (0%) 24.371/18.969/28.945/3.003 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.785 ms 0/11 (0%) 23.284/19.147/27.850/2.990 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.128 ms 0/12 (0%) 23.813/20.684/28.473/2.538 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.753 ms 0/11 (0%) 24.119/20.019/31.871/3.779 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   4.286 ms 0/12 (0%) 22.370/13.073/27.517/4.352 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.667 ms 0/11 (0%) 23.972/21.561/27.365/2.171 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.798 ms 0/12 (0%) 23.498/16.461/30.111/3.493 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   4.221 ms 0/11 (0%) 23.711/20.568/30.030/3.265 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.214 ms 0/11 (0%) 22.083/18.250/24.976/1.916 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   2.746 ms 0/12 (0%) 24.041/19.614/29.298/2.587 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.360 ms 0/11 (0%) 22.467/16.338/28.434/3.328 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.145 ms 0/12 (0%) 24.255/21.531/29.667/2.303 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.087 ms 0/11 (0%) 22.438/18.903/26.980/2.432 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  15400 Bytes  123200 bits/sec   3.070 ms 0/11 (0%) 23.157/17.729/27.972/2.860 ms 11 pps 11/0(0) pkts 1
[ *1] 31.00-32.00 sec  16800 Bytes  134400 bits/sec   3.551 ms 0/12 (0%) 22.634/18.333/26.896/2.801 ms 11 pps 12/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   3.387 ms 0/11 (0%) 23.895/19.421/28.832/2.903 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   3.909 ms 0/12 (0%) 23.694/20.667/31.066/3.117 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   2.883 ms 0/11 (0%) 23.090/20.077/25.613/1.653 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   2.915 ms 0/12 (0%) 24.417/21.624/29.175/2.173 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   2.992 ms 0/11 (0%) 24.469/16.559/28.401/3.425 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  16800 Bytes  134400 bits/sec   3.811 ms 0/12 (0%) 23.043/18.815/28.267/2.874 ms 11 pps 12/0(0) pkts 1
[ *1] 38.00-39.00 sec  15400 Bytes  123200 bits/sec   3.562 ms 0/11 (0%) 24.456/20.541/27.973/2.434 ms 11 pps 11/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   3.068 ms 0/11 (0%) 22.780/18.282/27.074/2.667 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   3.829 ms 0/12 (0%) 22.847/17.033/27.619/3.375 ms 11 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   3.247 ms 0/11 (0%) 23.820/19.532/28.109/2.693 ms 11 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   3.033 ms 0/12 (0%) 23.526/15.661/28.072/3.141 ms 12 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   3.210 ms 0/11 (0%) 22.629/19.553/29.315/2.695 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  16800 Bytes  134400 bits/sec   4.885 ms 0/12 (0%) 23.808/18.716/32.446/3.993 ms 11 pps 12/0(0) pkts 1
[ *1] 45.00-46.00 sec  15400 Bytes  123200 bits/sec   4.993 ms 0/11 (0%) 21.837/13.826/27.413/3.887 ms 11 pps 11/0(0) pkts 1
[ *1] 46.00-47.00 sec  15400 Bytes  123200 bits/sec   4.179 ms 0/11 (0%) 22.927/19.350/28.805/2.944 ms 11 pps 11/0(0) pkts 1
[ *1] 47.00-48.00 sec  16800 Bytes  134400 bits/sec   3.230 ms 0/12 (0%) 22.683/19.446/28.411/2.330 ms 11 pps 12/0(0) pkts 1
[ *1] 48.00-49.00 sec  15400 Bytes  123200 bits/sec   3.542 ms 0/11 (0%) 24.466/20.652/30.730/2.939 ms 11 pps 11/0(0) pkts 1
[ *1] 49.00-50.00 sec  16800 Bytes  134400 bits/sec   3.629 ms 0/12 (0%) 23.447/18.732/28.254/2.683 ms 11 pps 12/0(0) pkts 1
[ *1] 50.00-51.00 sec  15400 Bytes  123200 bits/sec   4.045 ms 0/11 (0%) 24.315/17.286/31.794/3.732 ms 11 pps 11/0(0) pkts 1
[ *1] 51.00-52.00 sec  15400 Bytes  123200 bits/sec   3.731 ms 0/11 (0%) 23.472/16.027/27.854/3.767 ms 11 pps 11/0(0) pkts 1
[ *1] 52.00-53.00 sec  16800 Bytes  134400 bits/sec   3.052 ms 0/12 (0%) 23.438/16.740/27.653/3.474 ms 11 pps 12/0(0) pkts 1
[ *1] 53.00-54.00 sec  15400 Bytes  123200 bits/sec   2.817 ms 0/11 (0%) 23.134/18.615/26.027/2.052 ms 11 pps 11/0(0) pkts 1
[ *1] 54.00-55.00 sec  16800 Bytes  134400 bits/sec   4.410 ms 0/12 (0%) 22.941/17.279/32.175/4.408 ms 11 pps 12/0(0) pkts 1
[ *1] 55.00-56.00 sec  15400 Bytes  123200 bits/sec   3.647 ms 0/11 (0%) 24.046/19.813/26.909/2.384 ms 12 pps 11/0(0) pkts 1
[ *1] 56.00-57.00 sec  16800 Bytes  134400 bits/sec   3.182 ms 0/12 (0%) 23.687/19.456/27.224/2.173 ms 11 pps 12/0(0) pkts 1
[ *1] 57.00-58.00 sec  15400 Bytes  123200 bits/sec   3.466 ms 0/11 (0%) 23.430/17.694/27.934/3.445 ms 11 pps 11/0(0) pkts 1
[ *1] 58.00-59.00 sec  16800 Bytes  134400 bits/sec   4.408 ms 0/12 (0%) 23.258/15.528/27.441/3.937 ms 12 pps 12/0(0) pkts 1
[ *1] 59.00-60.00 sec  15400 Bytes  123200 bits/sec   4.235 ms 0/11 (0%) 24.285/17.299/29.075/4.285 ms 11 pps 11/0(0) pkts 1
[ *1] 60.00-61.00 sec  15400 Bytes  123200 bits/sec   3.885 ms 0/11 (0%) 25.639/21.797/30.432/3.161 ms 11 pps 11/0(0) pkts 1
[ *1] 61.00-62.00 sec  16800 Bytes  134400 bits/sec   4.628 ms 0/12 (0%) 22.761/18.137/29.444/3.433 ms 12 pps 12/0(0) pkts 1
[ *1] 62.00-63.00 sec  15400 Bytes  123200 bits/sec   4.174 ms 0/11 (0%) 23.136/18.303/27.396/3.026 ms 11 pps 11/0(0) pkts 1
[ *1] 63.00-64.00 sec  16800 Bytes  134400 bits/sec   3.418 ms 0/12 (0%) 22.736/15.510/25.058/2.582 ms 11 pps 12/0(0) pkts 1
[ *1] 64.00-65.00 sec  15400 Bytes  123200 bits/sec   2.801 ms 0/11 (0%) 24.104/20.393/27.677/2.194 ms 11 pps 11/0(0) pkts 1
[ *1] 65.00-66.00 sec  16800 Bytes  134400 bits/sec   3.632 ms 0/12 (0%) 22.117/15.356/26.453/3.327 ms 11 pps 12/0(0) pkts 1
[ *1] 66.00-67.00 sec  15400 Bytes  123200 bits/sec   3.699 ms 0/11 (0%) 23.692/19.341/28.515/2.874 ms 11 pps 11/0(0) pkts 1
[ *1] 67.00-68.00 sec  15400 Bytes  123200 bits/sec   3.635 ms 0/11 (0%) 24.296/17.654/28.451/3.339 ms 11 pps 11/0(0) pkts 1
[ *1] 68.00-69.00 sec  16800 Bytes  134400 bits/sec   2.909 ms 0/12 (0%) 23.848/18.337/28.657/2.722 ms 12 pps 12/0(0) pkts 1
[ *1] 69.00-70.00 sec  15400 Bytes  123200 bits/sec   2.832 ms 0/11 (0%) 23.826/19.627/26.925/2.279 ms 11 pps 11/0(0) pkts 1
[ *1] 70.00-71.00 sec  16800 Bytes  134400 bits/sec   2.707 ms 0/12 (0%) 22.723/19.153/26.258/2.130 ms 11 pps 12/0(0) pkts 1
[ *1] 71.00-72.00 sec  15400 Bytes  123200 bits/sec   2.623 ms 0/11 (0%) 22.987/18.117/26.740/2.276 ms 11 pps 11/0(0) pkts 1
[ *1] 72.00-73.00 sec  15400 Bytes  123200 bits/sec   2.899 ms 0/11 (0%) 22.844/19.450/27.351/2.725 ms 11 pps 11/0(0) pkts 1
[ *1] 73.00-74.00 sec  16800 Bytes  134400 bits/sec   3.230 ms 0/12 (0%) 25.011/20.583/29.856/2.832 ms 11 pps 12/0(0) pkts 1
[ *1] 74.00-75.00 sec  15400 Bytes  123200 bits/sec   2.994 ms 0/11 (0%) 23.430/19.510/27.886/2.772 ms 12 pps 11/0(0) pkts 1
[ *1] 75.00-76.00 sec  16800 Bytes  134400 bits/sec   3.655 ms 0/12 (0%) 23.423/17.470/27.728/3.383 ms 11 pps 12/0(0) pkts 1
[ *1] 76.00-77.00 sec  15400 Bytes  123200 bits/sec   3.153 ms 0/11 (0%) 22.714/20.213/27.564/2.327 ms 11 pps 11/0(0) pkts 1
[ *1] 77.00-78.00 sec  16800 Bytes  134400 bits/sec   3.526 ms 0/12 (0%) 24.632/17.831/30.626/3.404 ms 11 pps 12/0(0) pkts 1
[ *1] 78.00-79.00 sec  15400 Bytes  123200 bits/sec   3.300 ms 0/11 (0%) 23.340/19.978/26.775/1.917 ms 11 pps 11/0(0) pkts 1
[ *1] 79.00-80.00 sec  15400 Bytes  123200 bits/sec   3.689 ms 0/11 (0%) 24.173/18.468/30.144/3.604 ms 11 pps 11/0(0) pkts 1
[ *1] 80.00-81.00 sec  16800 Bytes  134400 bits/sec   4.116 ms 0/12 (0%) 23.828/16.227/28.518/3.809 ms 12 pps 12/0(0) pkts 1
