------------------------------------------------------------
Client connecting to 10.0.100.3, UDP port 5060 with pid 107 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.8%uesimtun0 port 50753 connected with 10.0.100.3 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 20:28:56 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   2.053 ms 0/13 (0%) 23.739/18.015/28.802/6.648 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.709 ms 0/11 (0%) 23.498/18.768/28.451/2.743 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   2.658 ms 0/12 (0%) 24.281/20.720/28.321/2.796 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.439 ms 0/11 (0%) 25.860/19.343/29.920/3.454 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.600 ms 0/11 (0%) 23.708/16.368/30.007/3.507 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.390 ms 0/12 (0%) 23.206/17.139/26.413/2.596 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.581 ms 0/11 (0%) 23.290/17.646/27.690/3.437 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.603 ms 0/12 (0%) 22.705/19.414/28.161/2.973 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.546 ms 0/11 (0%) 24.363/19.399/27.657/2.549 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.338 ms 0/12 (0%) 21.133/15.191/27.346/3.268 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   2.972 ms 0/11 (0%) 24.499/21.915/27.958/1.784 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.046 ms 0/11 (0%) 23.078/20.390/27.385/2.808 ms 11 pps 11/0(0) pkts 1
