------------------------------------------------------------
Client connecting to 10.0.100.3, UDP port 5060 with pid 101 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.8%uesimtun0 port 56358 connected with 10.0.100.3 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 18:40:24 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.750 ms 0/13 (0%) 22.101/15.672/26.681/6.567 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   3.311 ms 0/11 (0%) 22.436/14.673/27.252/4.104 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.966 ms 0/12 (0%) 25.045/19.296/31.217/3.385 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.898 ms 0/11 (0%) 23.770/19.400/28.628/2.857 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   4.396 ms 0/11 (0%) 22.369/18.095/26.951/3.083 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   4.270 ms 0/12 (0%) 24.406/19.217/31.234/2.995 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.338 ms 0/11 (0%) 23.041/18.861/25.929/2.166 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.755 ms 0/12 (0%) 22.746/16.975/28.899/3.335 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.441 ms 0/11 (0%) 24.299/18.456/28.084/2.897 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   2.732 ms 0/12 (0%) 24.251/20.178/27.086/2.116 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   2.653 ms 0/11 (0%) 23.050/19.776/27.645/2.920 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.651 ms 0/11 (0%) 22.047/15.150/26.319/3.833 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.655 ms 0/12 (0%) 23.707/20.225/28.264/3.020 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   4.467 ms 0/11 (0%) 22.896/12.945/29.296/4.281 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   4.282 ms 0/12 (0%) 24.174/19.658/29.918/3.096 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.544 ms 0/11 (0%) 23.597/18.782/27.616/2.630 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.568 ms 0/12 (0%) 22.393/17.957/26.107/2.621 ms 12 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.230 ms 0/11 (0%) 24.777/22.027/30.807/2.758 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.696 ms 0/11 (0%) 22.795/17.045/27.668/2.846 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.711 ms 0/12 (0%) 23.945/18.139/28.257/2.928 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.856 ms 0/11 (0%) 23.915/19.546/28.163/3.059 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   4.053 ms 0/12 (0%) 22.762/17.269/27.459/3.538 ms 12 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.302 ms 0/11 (0%) 23.538/20.169/28.129/2.632 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.366 ms 0/12 (0%) 23.263/18.429/27.776/2.665 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   3.283 ms 0/11 (0%) 22.966/18.379/29.933/3.563 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.044 ms 0/11 (0%) 22.562/19.226/27.819/2.724 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.759 ms 0/12 (0%) 22.426/13.560/28.352/3.857 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.925 ms 0/11 (0%) 21.276/16.736/27.959/3.452 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.092 ms 0/12 (0%) 23.569/20.650/25.518/1.676 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.825 ms 0/11 (0%) 24.855/17.986/33.834/3.936 ms 12 pps 11/0(0) pkts 1
