------------------------------------------------------------
Client connecting to 10.0.100.13, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.5%uesimtun0 port 52003 connected with 10.0.100.13 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 18:40:25 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   2.208 ms 0/13 (0%) 23.825/16.296/32.251/8.439 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.900 ms 0/11 (0%) 21.420/17.560/26.464/2.776 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   4.476 ms 0/12 (0%) 23.390/16.870/30.847/4.101 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.828 ms 0/11 (0%) 24.672/21.441/28.494/2.305 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.125 ms 0/11 (0%) 23.508/19.301/28.655/3.240 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.442 ms 0/12 (0%) 23.295/19.118/27.383/2.994 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.939 ms 0/11 (0%) 22.668/16.377/26.737/3.308 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.990 ms 0/12 (0%) 23.503/15.953/29.752/3.644 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   4.957 ms 0/11 (0%) 21.148/11.402/26.478/4.611 ms 12 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   4.451 ms 0/12 (0%) 21.962/18.157/27.987/2.783 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   4.099 ms 0/11 (0%) 23.383/18.006/28.471/3.630 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.838 ms 0/11 (0%) 25.435/19.377/32.589/4.892 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.679 ms 0/12 (0%) 23.422/19.025/28.177/2.775 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   4.188 ms 0/11 (0%) 23.351/18.422/28.764/3.080 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   4.123 ms 0/12 (0%) 22.824/18.232/28.081/2.830 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   4.276 ms 0/11 (0%) 24.330/18.252/30.322/4.168 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   4.307 ms 0/12 (0%) 23.424/17.239/28.551/3.517 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.620 ms 0/11 (0%) 22.091/18.805/27.409/2.357 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   2.697 ms 0/11 (0%) 25.341/21.839/29.770/2.436 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.773 ms 0/12 (0%) 23.278/19.129/30.928/3.410 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   2.776 ms 0/11 (0%) 24.980/20.830/28.301/2.244 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   2.221 ms 0/12 (0%) 24.389/22.180/28.102/1.712 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   2.630 ms 0/11 (0%) 22.360/18.653/26.109/2.529 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   2.874 ms 0/12 (0%) 22.881/18.611/29.580/2.794 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   2.819 ms 0/11 (0%) 22.124/19.549/25.563/2.150 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.001 ms 0/11 (0%) 25.107/16.594/29.505/4.061 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.373 ms 0/12 (0%) 21.896/18.640/29.296/3.107 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.370 ms 0/11 (0%) 23.534/19.120/30.778/3.443 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.934 ms 0/12 (0%) 24.788/18.561/34.020/4.208 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   4.243 ms 0/11 (0%) 23.097/18.179/28.233/3.319 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  15400 Bytes  123200 bits/sec   4.271 ms 0/11 (0%) 23.097/19.982/28.941/3.032 ms 12 pps 11/0(0) pkts 1
[ *1] 31.00-32.00 sec  16800 Bytes  134400 bits/sec   4.910 ms 0/12 (0%) 23.562/16.027/28.392/4.032 ms 11 pps 12/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   3.389 ms 0/11 (0%) 24.496/22.773/28.745/1.930 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   3.530 ms 0/12 (0%) 22.875/18.362/26.658/2.880 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   3.435 ms 0/11 (0%) 23.170/17.749/27.214/2.981 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.720 ms 0/12 (0%) 25.102/19.650/29.121/2.889 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   3.433 ms 0/11 (0%) 23.795/19.916/31.679/3.990 ms 12 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  15400 Bytes  123200 bits/sec   4.245 ms 0/11 (0%) 23.816/17.461/29.795/3.824 ms 11 pps 11/0(0) pkts 1
[ *1] 38.00-39.00 sec  16800 Bytes  134400 bits/sec   3.950 ms 0/12 (0%) 23.605/16.889/26.864/3.325 ms 11 pps 12/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   3.515 ms 0/11 (0%) 22.465/16.202/26.591/3.057 ms 12 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   3.891 ms 0/12 (0%) 21.623/15.686/27.321/3.600 ms 11 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   3.838 ms 0/11 (0%) 23.351/19.836/28.911/3.130 ms 11 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   2.809 ms 0/12 (0%) 23.529/18.527/26.636/2.633 ms 11 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   3.107 ms 0/11 (0%) 24.176/18.819/28.376/2.918 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  16800 Bytes  134400 bits/sec   3.314 ms 0/12 (0%) 23.468/18.487/28.987/3.024 ms 11 pps 12/0(0) pkts 1
[ *1] 45.00-46.00 sec  15400 Bytes  123200 bits/sec   3.478 ms 0/11 (0%) 25.117/19.856/29.274/2.987 ms 11 pps 11/0(0) pkts 1
[ *1] 46.00-47.00 sec  15400 Bytes  123200 bits/sec   3.206 ms 0/11 (0%) 22.755/19.747/27.510/2.539 ms 11 pps 11/0(0) pkts 1
[ *1] 47.00-48.00 sec  16800 Bytes  134400 bits/sec   3.066 ms 0/12 (0%) 23.754/18.185/29.698/2.943 ms 11 pps 12/0(0) pkts 1
[ *1] 48.00-49.00 sec  15400 Bytes  123200 bits/sec   3.731 ms 0/11 (0%) 23.003/16.867/26.996/3.520 ms 11 pps 11/0(0) pkts 1
[ *1] 49.00-50.00 sec  16800 Bytes  134400 bits/sec   3.508 ms 0/12 (0%) 22.376/17.019/29.097/3.026 ms 12 pps 12/0(0) pkts 1
[ *1] 50.00-51.00 sec  15400 Bytes  123200 bits/sec   3.045 ms 0/11 (0%) 24.364/21.262/26.533/1.742 ms 11 pps 11/0(0) pkts 1
[ *1] 51.00-52.00 sec  16800 Bytes  134400 bits/sec   3.508 ms 0/12 (0%) 23.266/18.761/29.055/3.355 ms 11 pps 12/0(0) pkts 1
[ *1] 52.00-53.00 sec  15400 Bytes  123200 bits/sec   3.124 ms 0/11 (0%) 22.895/17.993/27.015/2.844 ms 11 pps 11/0(0) pkts 1
[ *1] 53.00-54.00 sec  15400 Bytes  123200 bits/sec   3.277 ms 0/11 (0%) 23.797/19.278/30.164/2.987 ms 11 pps 11/0(0) pkts 1
[ *1] 54.00-55.00 sec  16800 Bytes  134400 bits/sec   3.523 ms 0/12 (0%) 24.053/20.721/33.357/3.444 ms 11 pps 12/0(0) pkts 1
[ *1] 55.00-56.00 sec  15400 Bytes  123200 bits/sec   3.450 ms 0/11 (0%) 22.597/17.986/26.929/3.150 ms 11 pps 11/0(0) pkts 1
[ *1] 56.00-57.00 sec  16800 Bytes  134400 bits/sec   3.556 ms 0/12 (0%) 22.339/18.678/27.445/3.111 ms 11 pps 12/0(0) pkts 1
