------------------------------------------------------------
Client connecting to 10.0.100.13, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.6%uesimtun0 port 51004 connected with 10.0.100.13 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 20:14:33 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.359 ms 0/13 (0%) 23.471/18.494/27.180/7.444 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   1.901 ms 0/11 (0%) 22.218/18.984/25.803/1.940 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   2.345 ms 0/12 (0%) 21.902/18.253/27.626/2.734 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   2.969 ms 0/11 (0%) 24.167/19.423/27.170/2.419 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   2.859 ms 0/11 (0%) 21.917/19.542/25.019/1.684 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.029 ms 0/12 (0%) 22.796/17.696/28.258/3.263 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   2.892 ms 0/11 (0%) 22.292/17.291/27.202/3.052 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   2.794 ms 0/12 (0%) 22.419/17.657/24.911/2.375 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.462 ms 0/11 (0%) 22.225/17.493/28.008/3.213 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   2.827 ms 0/12 (0%) 22.754/17.662/26.593/2.517 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.295 ms 0/11 (0%) 24.866/19.604/30.907/3.150 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.516 ms 0/11 (0%) 23.250/18.986/29.492/2.849 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.468 ms 0/12 (0%) 23.968/19.338/31.212/3.511 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.962 ms 0/11 (0%) 23.901/19.502/27.947/3.186 ms 12 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.851 ms 0/12 (0%) 22.555/16.481/27.049/3.484 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.531 ms 0/11 (0%) 22.233/18.445/27.473/3.043 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.431 ms 0/12 (0%) 23.133/19.493/26.743/2.398 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   2.897 ms 0/11 (0%) 23.682/19.726/28.877/2.542 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.501 ms 0/11 (0%) 22.769/19.333/27.191/2.591 ms 12 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   2.905 ms 0/12 (0%) 23.715/19.340/26.133/2.322 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.471 ms 0/11 (0%) 23.453/17.478/29.739/3.400 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.622 ms 0/12 (0%) 23.220/17.587/26.779/2.944 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.099 ms 0/11 (0%) 21.393/18.957/25.012/2.007 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.875 ms 0/12 (0%) 22.922/17.341/29.888/3.445 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   3.573 ms 0/11 (0%) 23.894/16.458/29.367/3.321 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.309 ms 0/11 (0%) 23.831/19.654/28.173/2.722 ms 11 pps 11/0(0) pkts 1
