------------------------------------------------------------
Client connecting to 10.0.100.19, UDP port 5060 with pid 58 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.1%uesimtun0 port 57225 connected with 10.0.100.19 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 20:14:33 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   2.836 ms 0/13 (0%) 21.859/17.036/26.524/6.988 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.984 ms 0/11 (0%) 23.613/19.193/29.998/2.858 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  15400 Bytes  123200 bits/sec   3.312 ms 0/11 (0%) 22.742/18.622/28.489/3.235 ms 11 pps 11/0(0) pkts 1
[ *1] 3.00-4.00 sec  16800 Bytes  134400 bits/sec   3.695 ms 0/12 (0%) 23.509/17.415/30.920/3.410 ms 11 pps 12/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.766 ms 0/11 (0%) 22.219/17.109/28.017/3.363 ms 12 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.472 ms 0/12 (0%) 24.305/20.668/31.783/2.913 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   4.124 ms 0/11 (0%) 25.077/17.912/29.914/3.539 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.121 ms 0/12 (0%) 22.014/15.958/24.222/2.404 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.245 ms 0/11 (0%) 22.143/16.867/25.320/2.865 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  15400 Bytes  123200 bits/sec   3.512 ms 0/11 (0%) 24.124/17.481/29.082/3.204 ms 11 pps 11/0(0) pkts 1
[ *1] 10.00-11.00 sec  16800 Bytes  134400 bits/sec   3.520 ms 0/12 (0%) 23.838/19.860/29.674/2.785 ms 11 pps 12/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.540 ms 0/11 (0%) 24.472/20.262/28.459/2.855 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.150 ms 0/12 (0%) 24.443/20.127/30.171/2.765 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   4.575 ms 0/11 (0%) 24.204/18.978/30.984/4.410 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.582 ms 0/12 (0%) 22.662/18.428/27.416/2.594 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.967 ms 0/11 (0%) 23.642/16.925/29.031/3.943 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.372 ms 0/12 (0%) 24.256/18.850/28.750/2.872 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.037 ms 0/11 (0%) 24.465/20.613/28.132/1.991 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   2.828 ms 0/11 (0%) 23.351/19.273/27.096/2.864 ms 12 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.415 ms 0/12 (0%) 22.877/16.171/26.696/3.013 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   4.832 ms 0/11 (0%) 23.901/18.363/30.744/4.887 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.886 ms 0/12 (0%) 24.085/20.156/26.984/2.045 ms 12 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.821 ms 0/11 (0%) 25.058/21.814/31.205/2.754 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   4.237 ms 0/12 (0%) 22.487/14.788/28.140/3.681 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   4.064 ms 0/11 (0%) 22.874/18.255/29.417/3.769 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.177 ms 0/11 (0%) 24.614/19.851/29.043/2.994 ms 12 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.512 ms 0/12 (0%) 25.784/20.253/29.837/2.935 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.467 ms 0/11 (0%) 22.554/18.938/25.635/2.542 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.545 ms 0/12 (0%) 23.345/17.737/26.754/3.135 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   4.139 ms 0/11 (0%) 24.045/14.008/29.139/4.285 ms 12 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   4.334 ms 0/12 (0%) 22.782/19.351/26.687/2.679 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   3.105 ms 0/11 (0%) 21.437/17.388/23.690/1.793 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   2.784 ms 0/11 (0%) 25.365/21.520/28.062/1.800 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   3.710 ms 0/12 (0%) 23.575/16.585/28.816/3.764 ms 12 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   2.836 ms 0/11 (0%) 23.777/20.959/27.639/1.909 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.133 ms 0/12 (0%) 23.127/18.502/27.988/2.680 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   3.381 ms 0/11 (0%) 22.487/18.800/30.420/3.408 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  16800 Bytes  134400 bits/sec   3.463 ms 0/12 (0%) 23.487/18.795/29.111/2.713 ms 11 pps 12/0(0) pkts 1
[ *1] 38.00-39.00 sec  15400 Bytes  123200 bits/sec   3.404 ms 0/11 (0%) 23.750/16.662/28.677/3.418 ms 11 pps 11/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   2.859 ms 0/11 (0%) 23.289/19.703/25.636/1.883 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   3.423 ms 0/12 (0%) 23.700/19.041/27.736/2.815 ms 11 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   2.867 ms 0/11 (0%) 24.893/21.982/28.119/2.211 ms 11 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   4.049 ms 0/12 (0%) 21.221/15.596/27.419/3.393 ms 11 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   3.569 ms 0/11 (0%) 24.342/20.512/26.753/2.374 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  16800 Bytes  134400 bits/sec   3.316 ms 0/12 (0%) 22.262/18.426/26.788/2.474 ms 12 pps 12/0(0) pkts 1
[ *1] 45.00-46.00 sec  15400 Bytes  123200 bits/sec   2.897 ms 0/11 (0%) 23.714/18.018/27.501/2.568 ms 11 pps 11/0(0) pkts 1
[ *1] 46.00-47.00 sec  15400 Bytes  123200 bits/sec   2.659 ms 0/11 (0%) 23.580/20.641/30.083/2.857 ms 11 pps 11/0(0) pkts 1
[ *1] 47.00-48.00 sec  16800 Bytes  134400 bits/sec   2.283 ms 0/12 (0%) 23.622/18.644/26.007/2.321 ms 11 pps 12/0(0) pkts 1
[ *1] 48.00-49.00 sec  15400 Bytes  123200 bits/sec   2.385 ms 0/11 (0%) 23.730/20.630/26.875/2.122 ms 11 pps 11/0(0) pkts 1
[ *1] 49.00-50.00 sec  16800 Bytes  134400 bits/sec   3.270 ms 0/12 (0%) 23.487/18.662/31.304/3.312 ms 11 pps 12/0(0) pkts 1
[ *1] 50.00-51.00 sec  15400 Bytes  123200 bits/sec   3.884 ms 0/11 (0%) 22.230/17.817/28.585/3.311 ms 11 pps 11/0(0) pkts 1
[ *1] 51.00-52.00 sec  15400 Bytes  123200 bits/sec   3.238 ms 0/11 (0%) 24.100/20.605/28.021/2.342 ms 11 pps 11/0(0) pkts 1
[ *1] 52.00-53.00 sec  16800 Bytes  134400 bits/sec   3.623 ms 0/12 (0%) 23.962/20.018/29.980/3.307 ms 11 pps 12/0(0) pkts 1
[ *1] 53.00-54.00 sec  15400 Bytes  123200 bits/sec   3.149 ms 0/11 (0%) 23.674/18.509/27.814/2.298 ms 11 pps 11/0(0) pkts 1
[ *1] 54.00-55.00 sec  16800 Bytes  134400 bits/sec   3.292 ms 0/12 (0%) 24.307/20.766/28.939/3.042 ms 11 pps 12/0(0) pkts 1
[ *1] 55.00-56.00 sec  15400 Bytes  123200 bits/sec   3.526 ms 0/11 (0%) 22.574/18.811/28.985/3.451 ms 11 pps 11/0(0) pkts 1
[ *1] 56.00-57.00 sec  16800 Bytes  134400 bits/sec   3.582 ms 0/12 (0%) 23.700/20.720/27.276/2.330 ms 11 pps 12/0(0) pkts 1
[ *1] 57.00-58.00 sec  15400 Bytes  123200 bits/sec   3.104 ms 0/11 (0%) 23.972/19.370/28.988/3.134 ms 11 pps 11/0(0) pkts 1
[ *1] 58.00-59.00 sec  16800 Bytes  134400 bits/sec   3.172 ms 0/12 (0%) 22.650/18.998/28.241/2.728 ms 11 pps 12/0(0) pkts 1
[ *1] 59.00-60.00 sec  15400 Bytes  123200 bits/sec   3.414 ms 0/11 (0%) 24.010/18.596/27.169/2.818 ms 11 pps 11/0(0) pkts 1
[ *1] 60.00-61.00 sec  15400 Bytes  123200 bits/sec   3.248 ms 0/11 (0%) 23.770/18.002/29.396/3.037 ms 11 pps 11/0(0) pkts 1
