------------------------------------------------------------
Client connecting to 10.0.100.7, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.5%uesimtun0 port 52420 connected with 10.0.100.7 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 20:14:33 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   2.655 ms 0/13 (0%) 23.700/17.926/29.570/8.441 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   3.041 ms 0/11 (0%) 23.367/19.732/28.893/2.627 ms 12 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  15400 Bytes  123200 bits/sec   3.160 ms 0/11 (0%) 22.931/17.812/26.635/2.566 ms 11 pps 11/0(0) pkts 1
[ *1] 3.00-4.00 sec  16800 Bytes  134400 bits/sec   3.256 ms 0/12 (0%) 24.917/19.843/30.806/2.896 ms 11 pps 12/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   2.989 ms 0/11 (0%) 23.789/21.116/26.120/1.797 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   2.893 ms 0/12 (0%) 24.458/21.127/27.835/2.194 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   2.948 ms 0/11 (0%) 22.790/16.218/27.212/2.900 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.086 ms 0/12 (0%) 23.489/18.399/30.113/3.122 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.035 ms 0/11 (0%) 22.625/18.219/27.384/3.042 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.924 ms 0/12 (0%) 24.458/19.744/30.034/3.730 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.601 ms 0/11 (0%) 24.286/20.705/27.246/2.332 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.476 ms 0/11 (0%) 22.799/15.601/27.104/3.525 ms 12 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   4.708 ms 0/12 (0%) 22.504/16.987/31.054/4.272 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   4.450 ms 0/11 (0%) 22.891/18.385/27.536/3.407 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   4.446 ms 0/12 (0%) 24.959/19.086/31.344/3.330 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   4.061 ms 0/11 (0%) 24.255/21.485/29.734/2.862 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.492 ms 0/12 (0%) 24.776/17.913/29.902/3.012 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   2.942 ms 0/11 (0%) 24.424/20.490/26.317/2.046 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.194 ms 0/11 (0%) 22.739/18.236/30.660/3.239 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   4.338 ms 0/12 (0%) 22.260/17.071/28.248/3.899 ms 12 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   4.353 ms 0/11 (0%) 24.461/19.278/29.327/3.505 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.653 ms 0/12 (0%) 24.700/20.882/29.173/2.350 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.168 ms 0/11 (0%) 24.571/21.502/28.366/2.355 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  15400 Bytes  123200 bits/sec   3.474 ms 0/11 (0%) 24.079/20.444/28.570/2.530 ms 11 pps 11/0(0) pkts 1
[ *1] 24.00-25.00 sec  16800 Bytes  134400 bits/sec   3.137 ms 0/12 (0%) 24.300/18.987/28.760/2.971 ms 11 pps 12/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.537 ms 0/11 (0%) 22.149/18.326/28.027/3.155 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   2.911 ms 0/12 (0%) 21.656/16.415/25.692/2.521 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.139 ms 0/11 (0%) 22.358/18.447/26.551/2.919 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.902 ms 0/12 (0%) 24.308/16.559/29.542/3.450 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.446 ms 0/11 (0%) 22.633/15.716/25.912/3.231 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   3.571 ms 0/12 (0%) 23.928/19.711/30.317/2.981 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   4.474 ms 0/11 (0%) 22.925/18.497/29.755/4.155 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   3.734 ms 0/11 (0%) 22.687/17.546/25.318/2.496 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   3.219 ms 0/12 (0%) 24.018/19.300/28.336/2.838 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   3.136 ms 0/11 (0%) 24.015/17.684/26.647/2.810 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   2.516 ms 0/12 (0%) 21.915/19.530/26.002/2.095 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   3.162 ms 0/11 (0%) 23.636/17.331/28.570/3.707 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  16800 Bytes  134400 bits/sec   2.945 ms 0/12 (0%) 23.917/17.322/28.719/3.135 ms 12 pps 12/0(0) pkts 1
[ *1] 38.00-39.00 sec  15400 Bytes  123200 bits/sec   3.845 ms 0/11 (0%) 23.211/17.961/28.722/3.299 ms 11 pps 11/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   3.341 ms 0/11 (0%) 21.777/18.442/27.555/2.561 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   3.555 ms 0/12 (0%) 24.033/17.661/27.704/2.954 ms 11 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   3.190 ms 0/11 (0%) 24.352/19.302/27.986/2.768 ms 11 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   3.550 ms 0/12 (0%) 23.041/18.238/27.877/3.115 ms 11 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   4.359 ms 0/11 (0%) 23.625/18.335/29.390/3.570 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  15400 Bytes  123200 bits/sec   3.890 ms 0/11 (0%) 23.833/20.598/28.085/2.419 ms 11 pps 11/0(0) pkts 1
[ *1] 45.00-46.00 sec  16800 Bytes  134400 bits/sec   3.152 ms 0/12 (0%) 23.861/21.562/26.603/1.903 ms 11 pps 12/0(0) pkts 1
[ *1] 46.00-47.00 sec  15400 Bytes  123200 bits/sec   3.452 ms 0/11 (0%) 23.431/19.950/27.465/2.491 ms 11 pps 11/0(0) pkts 1
[ *1] 47.00-48.00 sec  16800 Bytes  134400 bits/sec   3.539 ms 0/12 (0%) 22.790/17.775/27.183/2.862 ms 11 pps 12/0(0) pkts 1
[ *1] 48.00-49.00 sec  15400 Bytes  123200 bits/sec   3.732 ms 0/11 (0%) 22.702/15.988/28.079/3.775 ms 11 pps 11/0(0) pkts 1
[ *1] 49.00-50.00 sec  16800 Bytes  134400 bits/sec   3.071 ms 0/12 (0%) 23.262/19.332/29.354/3.245 ms 11 pps 12/0(0) pkts 1
[ *1] 50.00-51.00 sec  15400 Bytes  123200 bits/sec   2.800 ms 0/11 (0%) 23.668/19.022/27.807/2.403 ms 11 pps 11/0(0) pkts 1
[ *1] 51.00-52.00 sec  16800 Bytes  134400 bits/sec   3.473 ms 0/12 (0%) 24.890/19.492/30.179/3.440 ms 11 pps 12/0(0) pkts 1
[ *1] 52.00-53.00 sec  15400 Bytes  123200 bits/sec   2.932 ms 0/11 (0%) 24.865/22.202/27.242/1.756 ms 11 pps 11/0(0) pkts 1
[ *1] 53.00-54.00 sec  15400 Bytes  123200 bits/sec   2.550 ms 0/11 (0%) 24.425/21.478/26.532/1.596 ms 11 pps 11/0(0) pkts 1
[ *1] 54.00-55.00 sec  16800 Bytes  134400 bits/sec   2.964 ms 0/12 (0%) 22.569/15.942/27.696/3.165 ms 11 pps 12/0(0) pkts 1
[ *1] 55.00-56.00 sec  15400 Bytes  123200 bits/sec   2.950 ms 0/11 (0%) 23.740/20.319/26.381/2.203 ms 11 pps 11/0(0) pkts 1
[ *1] 56.00-57.00 sec  16800 Bytes  134400 bits/sec   2.949 ms 0/12 (0%) 23.569/19.291/29.127/2.906 ms 11 pps 12/0(0) pkts 1
[ *1] 57.00-58.00 sec  15400 Bytes  123200 bits/sec   3.573 ms 0/11 (0%) 25.174/18.479/31.250/3.615 ms 11 pps 11/0(0) pkts 1
[ *1] 58.00-59.00 sec  16800 Bytes  134400 bits/sec   3.475 ms 0/12 (0%) 23.871/19.221/29.096/2.618 ms 11 pps 12/0(0) pkts 1
[ *1] 59.00-60.00 sec  15400 Bytes  123200 bits/sec   3.000 ms 0/11 (0%) 22.245/17.295/27.790/2.916 ms 11 pps 11/0(0) pkts 1
[ *1] 60.00-61.00 sec  15400 Bytes  123200 bits/sec   3.063 ms 0/11 (0%) 24.421/18.691/27.422/2.886 ms 11 pps 11/0(0) pkts 1
[ *1] 61.00-62.00 sec  16800 Bytes  134400 bits/sec   3.129 ms 0/12 (0%) 21.751/17.580/24.633/2.490 ms 11 pps 12/0(0) pkts 1
[ *1] 62.00-63.00 sec  15400 Bytes  123200 bits/sec   2.809 ms 0/11 (0%) 22.461/20.293/27.287/2.105 ms 11 pps 11/0(0) pkts 1
[ *1] 63.00-64.00 sec  16800 Bytes  134400 bits/sec   2.408 ms 0/12 (0%) 23.640/21.181/26.022/1.661 ms 11 pps 12/0(0) pkts 1
[ *1] 64.00-65.00 sec  15400 Bytes  123200 bits/sec   2.771 ms 0/11 (0%) 22.816/19.579/28.074/2.599 ms 11 pps 11/0(0) pkts 1
[ *1] 65.00-66.00 sec  16800 Bytes  134400 bits/sec   3.200 ms 0/12 (0%) 22.733/18.395/31.545/3.708 ms 11 pps 12/0(0) pkts 1
[ *1] 66.00-67.00 sec  15400 Bytes  123200 bits/sec   2.978 ms 0/11 (0%) 23.635/19.992/27.062/2.369 ms 11 pps 11/0(0) pkts 1
[ *1] 67.00-68.00 sec  15400 Bytes  123200 bits/sec   3.482 ms 0/11 (0%) 22.610/17.861/27.684/3.592 ms 11 pps 11/0(0) pkts 1
[ *1] 68.00-69.00 sec  16800 Bytes  134400 bits/sec   3.209 ms 0/12 (0%) 22.298/18.412/26.206/2.608 ms 11 pps 12/0(0) pkts 1
[ *1] 69.00-70.00 sec  15400 Bytes  123200 bits/sec   3.196 ms 0/11 (0%) 22.952/19.324/28.570/3.128 ms 11 pps 11/0(0) pkts 1
[ *1] 70.00-71.00 sec  16800 Bytes  134400 bits/sec   4.184 ms 0/12 (0%) 23.229/18.039/27.502/3.178 ms 11 pps 12/0(0) pkts 1
[ *1] 71.00-72.00 sec  15400 Bytes  123200 bits/sec   4.366 ms 0/11 (0%) 23.141/15.193/27.338/3.608 ms 11 pps 11/0(0) pkts 1
[ *1] 72.00-73.00 sec  15400 Bytes  123200 bits/sec   4.143 ms 0/11 (0%) 22.247/16.314/25.822/2.973 ms 11 pps 11/0(0) pkts 1
[ *1] 73.00-74.00 sec  16800 Bytes  134400 bits/sec   4.124 ms 0/12 (0%) 24.017/20.534/28.831/2.807 ms 11 pps 12/0(0) pkts 1
[ *1] 74.00-75.00 sec  15400 Bytes  123200 bits/sec   3.653 ms 0/11 (0%) 21.889/16.913/25.645/2.731 ms 11 pps 11/0(0) pkts 1
[ *1] 75.00-76.00 sec  16800 Bytes  134400 bits/sec   3.602 ms 0/12 (0%) 24.667/19.387/29.606/3.195 ms 11 pps 12/0(0) pkts 1
[ *1] 76.00-77.00 sec  15400 Bytes  123200 bits/sec   3.010 ms 0/11 (0%) 25.403/21.991/28.915/2.136 ms 12 pps 11/0(0) pkts 1
[ *1] 77.00-78.00 sec  16800 Bytes  134400 bits/sec   3.058 ms 0/12 (0%) 23.595/19.897/26.638/2.173 ms 11 pps 12/0(0) pkts 1
[ *1] 78.00-79.00 sec  15400 Bytes  123200 bits/sec   3.503 ms 0/11 (0%) 23.994/18.883/29.588/3.403 ms 11 pps 11/0(0) pkts 1
[ *1] 79.00-80.00 sec  15400 Bytes  123200 bits/sec   3.451 ms 0/11 (0%) 21.900/18.338/26.049/2.714 ms 12 pps 11/0(0) pkts 1
[ *1] 80.00-81.00 sec  16800 Bytes  134400 bits/sec   3.766 ms 0/12 (0%) 25.396/19.936/29.564/3.277 ms 11 pps 12/0(0) pkts 1
[ *1] 81.00-82.00 sec  15400 Bytes  123200 bits/sec   3.046 ms 0/11 (0%) 23.123/19.525/26.364/2.012 ms 11 pps 11/0(0) pkts 1
[ *1] 82.00-83.00 sec  16800 Bytes  134400 bits/sec   3.624 ms 0/12 (0%) 24.739/19.495/32.521/3.642 ms 11 pps 12/0(0) pkts 1
[ *1] 83.00-84.00 sec  15400 Bytes  123200 bits/sec   2.952 ms 0/11 (0%) 23.508/19.235/26.770/2.164 ms 11 pps 11/0(0) pkts 1
[ *1] 84.00-85.00 sec  16800 Bytes  134400 bits/sec   3.077 ms 0/12 (0%) 23.542/17.562/31.370/3.707 ms 11 pps 12/0(0) pkts 1
[ *1] 85.00-86.00 sec  15400 Bytes  123200 bits/sec   3.542 ms 0/11 (0%) 24.418/18.735/28.551/3.248 ms 11 pps 11/0(0) pkts 1
[ *1] 86.00-87.00 sec  15400 Bytes  123200 bits/sec   3.507 ms 0/11 (0%) 23.932/18.241/31.232/3.455 ms 12 pps 11/0(0) pkts 1
[ *1] 87.00-88.00 sec  16800 Bytes  134400 bits/sec   3.117 ms 0/12 (0%) 22.952/19.091/26.024/1.947 ms 11 pps 12/0(0) pkts 1
[ *1] 88.00-89.00 sec  15400 Bytes  123200 bits/sec   3.123 ms 0/11 (0%) 23.132/18.973/26.522/2.243 ms 11 pps 11/0(0) pkts 1
[ *1] 89.00-90.00 sec  16800 Bytes  134400 bits/sec   2.437 ms 0/12 (0%) 24.139/21.695/27.214/2.136 ms 11 pps 12/0(0) pkts 1
[ *1] 90.00-91.00 sec  15400 Bytes  123200 bits/sec   2.463 ms 0/11 (0%) 23.489/19.284/28.140/2.220 ms 11 pps 11/0(0) pkts 1
[ *1] 91.00-92.00 sec  16800 Bytes  134400 bits/sec   3.221 ms 0/12 (0%) 23.122/14.151/25.783/3.648 ms 11 pps 12/0(0) pkts 1
[ *1] 92.00-93.00 sec  15400 Bytes  123200 bits/sec   3.339 ms 0/11 (0%) 24.309/20.600/29.764/2.739 ms 11 pps 11/0(0) pkts 1
[ *1] 93.00-94.00 sec  16800 Bytes  134400 bits/sec   3.212 ms 0/12 (0%) 22.764/17.280/29.125/3.307 ms 11 pps 12/0(0) pkts 1
[ *1] 94.00-95.00 sec  15400 Bytes  123200 bits/sec   2.889 ms 0/11 (0%) 24.093/19.219/28.416/2.498 ms 11 pps 11/0(0) pkts 1
[ *1] 95.00-96.00 sec  15400 Bytes  123200 bits/sec   3.458 ms 0/11 (0%) 23.438/16.417/29.916/3.524 ms 11 pps 11/0(0) pkts 1
[ *1] 96.00-97.00 sec  16800 Bytes  134400 bits/sec   3.920 ms 0/12 (0%) 22.859/17.850/28.248/3.165 ms 11 pps 12/0(0) pkts 1
[ *1] 97.00-98.00 sec  15400 Bytes  123200 bits/sec   4.202 ms 0/11 (0%) 22.632/18.878/29.730/3.458 ms 11 pps 11/0(0) pkts 1
[ *1] 98.00-99.00 sec  16800 Bytes  134400 bits/sec   4.227 ms 0/12 (0%) 22.219/17.780/26.062/3.090 ms 11 pps 12/0(0) pkts 1
[ *1] 99.00-100.00 sec  15400 Bytes  123200 bits/sec   3.475 ms 0/11 (0%) 23.384/19.110/27.563/2.376 ms 11 pps 11/0(0) pkts 1
[ *1] 100.00-101.00 sec  16800 Bytes  134400 bits/sec   2.878 ms 0/12 (0%) 22.746/18.792/26.124/1.989 ms 11 pps 12/0(0) pkts 1
[ *1] 101.00-102.00 sec  15400 Bytes  123200 bits/sec   3.065 ms 0/11 (0%) 22.858/17.212/25.668/2.764 ms 11 pps 11/0(0) pkts 1
[ *1] 102.00-103.00 sec  15400 Bytes  123200 bits/sec   3.058 ms 0/11 (0%) 22.728/18.693/27.873/2.615 ms 11 pps 11/0(0) pkts 1
[ *1] 103.00-104.00 sec  16800 Bytes  134400 bits/sec   2.995 ms 0/12 (0%) 23.565/20.069/30.038/2.729 ms 11 pps 12/0(0) pkts 1
[ *1] 104.00-105.00 sec  15400 Bytes  123200 bits/sec   3.646 ms 0/11 (0%) 24.241/19.710/30.482/3.180 ms 11 pps 11/0(0) pkts 1
[ *1] 105.00-106.00 sec  16800 Bytes  134400 bits/sec   4.490 ms 0/12 (0%) 23.321/18.329/30.251/3.485 ms 11 pps 12/0(0) pkts 1
[ *1] 106.00-107.00 sec  15400 Bytes  123200 bits/sec   5.269 ms 0/11 (0%) 23.382/13.924/32.442/5.076 ms 11 pps 11/0(0) pkts 1
[ *1] 107.00-108.00 sec  15400 Bytes  123200 bits/sec   4.627 ms 0/11 (0%) 23.788/19.954/28.941/2.895 ms 12 pps 11/0(0) pkts 1
[ *1] 108.00-109.00 sec  16800 Bytes  134400 bits/sec   3.475 ms 0/12 (0%) 23.264/18.853/27.453/2.532 ms 11 pps 12/0(0) pkts 1
[ *1] 109.00-110.00 sec  15400 Bytes  123200 bits/sec   3.465 ms 0/11 (0%) 23.053/18.763/27.670/2.767 ms 11 pps 11/0(0) pkts 1
[ *1] 110.00-111.00 sec  16800 Bytes  134400 bits/sec   3.530 ms 0/12 (0%) 24.208/19.063/30.493/3.164 ms 11 pps 12/0(0) pkts 1
[ *1] 111.00-112.00 sec  15400 Bytes  123200 bits/sec   3.338 ms 0/11 (0%) 24.086/20.225/30.282/2.809 ms 11 pps 11/0(0) pkts 1
[ *1] 112.00-113.00 sec  16800 Bytes  134400 bits/sec   2.889 ms 0/12 (0%) 23.702/20.443/28.366/2.407 ms 11 pps 12/0(0) pkts 1
[ *1] 113.00-114.00 sec  15400 Bytes  123200 bits/sec   3.807 ms 0/11 (0%) 24.242/19.416/29.637/3.422 ms 11 pps 11/0(0) pkts 1
[ *1] 114.00-115.00 sec  16800 Bytes  134400 bits/sec   3.541 ms 0/12 (0%) 24.189/20.311/27.261/2.321 ms 11 pps 12/0(0) pkts 1
[ *1] 115.00-116.00 sec  15400 Bytes  123200 bits/sec   3.165 ms 0/11 (0%) 23.648/19.104/30.398/3.036 ms 11 pps 11/0(0) pkts 1
[ *1] 116.00-117.00 sec  15400 Bytes  123200 bits/sec   3.524 ms 0/11 (0%) 21.355/15.387/26.283/3.173 ms 12 pps 11/0(0) pkts 1
[ *1] 117.00-118.00 sec  16800 Bytes  134400 bits/sec   3.027 ms 0/12 (0%) 24.220/19.536/27.458/2.608 ms 11 pps 12/0(0) pkts 1
[ *1] 118.00-119.00 sec  15400 Bytes  123200 bits/sec   2.950 ms 0/11 (0%) 23.125/18.393/26.756/2.571 ms 11 pps 11/0(0) pkts 1
[ *1] 119.00-120.00 sec  16800 Bytes  134400 bits/sec   3.213 ms 0/12 (0%) 23.248/18.278/29.359/3.501 ms 11 pps 12/0(0) pkts 1
[ *1] 120.00-121.00 sec  15400 Bytes  123200 bits/sec   2.828 ms 0/11 (0%) 21.708/18.661/24.563/1.727 ms 11 pps 11/0(0) pkts 1
[ *1] 121.00-122.00 sec  15400 Bytes  123200 bits/sec   3.031 ms 0/11 (0%) 20.540/17.747/26.807/2.597 ms 11 pps 11/0(0) pkts 1
[ *1] 122.00-123.00 sec  16800 Bytes  134400 bits/sec   3.180 ms 0/12 (0%) 23.255/19.103/30.906/3.206 ms 11 pps 12/0(0) pkts 1
[ *1] 123.00-124.00 sec  15400 Bytes  123200 bits/sec   3.871 ms 0/11 (0%) 22.936/17.343/29.189/4.348 ms 11 pps 11/0(0) pkts 1
[ *1] 124.00-125.00 sec  16800 Bytes  134400 bits/sec   3.165 ms 0/12 (0%) 22.516/18.367/25.389/2.126 ms 11 pps 12/0(0) pkts 1
[ *1] 125.00-126.00 sec  15400 Bytes  123200 bits/sec   4.009 ms 0/11 (0%) 21.749/16.351/27.158/3.718 ms 12 pps 11/0(0) pkts 1
