------------------------------------------------------------
Client connecting to 10.0.100.3, UDP port 5060 with pid 105 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.8%uesimtun0 port 44650 connected with 10.0.100.3 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 20:43:41 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   2.389 ms 0/13 (0%) 23.731/17.412/28.786/7.706 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.621 ms 0/11 (0%) 24.148/20.322/27.124/2.227 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.498 ms 0/12 (0%) 23.096/19.140/28.477/3.095 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   2.876 ms 0/11 (0%) 24.627/20.451/27.337/2.149 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   4.011 ms 0/11 (0%) 23.435/16.171/29.559/3.705 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.559 ms 0/12 (0%) 24.390/19.250/28.944/2.551 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   4.225 ms 0/11 (0%) 24.804/18.906/31.407/3.861 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.459 ms 0/12 (0%) 24.223/19.881/30.327/3.146 ms 12 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.747 ms 0/11 (0%) 23.106/15.795/32.097/4.090 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   4.088 ms 0/12 (0%) 23.674/19.098/28.748/2.758 ms 12 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.573 ms 0/11 (0%) 23.945/19.817/28.797/2.896 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.340 ms 0/11 (0%) 24.818/21.477/29.205/2.682 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.047 ms 0/12 (0%) 24.191/20.398/27.892/2.437 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   2.923 ms 0/11 (0%) 22.684/18.996/26.446/2.087 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.189 ms 0/12 (0%) 22.994/16.652/27.376/2.907 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   4.652 ms 0/11 (0%) 24.115/19.184/32.242/4.063 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   4.390 ms 0/12 (0%) 22.794/15.697/31.678/4.135 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.458 ms 0/11 (0%) 24.073/18.910/28.673/2.783 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.185 ms 0/11 (0%) 23.963/17.390/28.069/3.650 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.732 ms 0/12 (0%) 24.920/18.706/30.274/3.307 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   4.099 ms 0/11 (0%) 23.957/18.773/28.967/3.127 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.563 ms 0/12 (0%) 22.934/19.154/27.635/2.477 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.258 ms 0/11 (0%) 21.979/16.899/27.586/2.994 ms 11 pps 11/0(0) pkts 1
