------------------------------------------------------------
Client connecting to 10.0.100.7, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.4%uesimtun0 port 60851 connected with 10.0.100.7 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 20:43:41 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.046 ms 0/13 (0%) 23.831/20.593/27.228/7.004 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   1.750 ms 0/11 (0%) 21.971/18.608/24.609/1.919 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.390 ms 0/12 (0%) 22.794/18.774/32.387/3.680 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.635 ms 0/11 (0%) 23.370/18.308/28.712/3.017 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.540 ms 0/11 (0%) 23.266/19.733/28.978/2.666 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   2.715 ms 0/12 (0%) 23.778/21.185/27.148/1.922 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.430 ms 0/11 (0%) 23.776/18.868/29.833/3.151 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.538 ms 0/12 (0%) 22.934/16.310/26.666/3.186 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.624 ms 0/11 (0%) 23.606/17.986/27.583/2.952 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  15400 Bytes  123200 bits/sec   3.010 ms 0/11 (0%) 23.889/17.589/29.725/3.662 ms 11 pps 11/0(0) pkts 1
[ *1] 10.00-11.00 sec  16800 Bytes  134400 bits/sec   3.061 ms 0/12 (0%) 23.489/17.847/27.050/3.015 ms 11 pps 12/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.178 ms 0/11 (0%) 22.629/15.499/25.876/2.863 ms 12 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.523 ms 0/12 (0%) 23.397/18.233/29.196/2.979 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.145 ms 0/11 (0%) 24.652/19.592/28.784/2.586 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   2.531 ms 0/12 (0%) 23.952/21.383/29.255/2.205 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.163 ms 0/11 (0%) 22.414/17.291/28.167/2.793 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   2.978 ms 0/12 (0%) 24.233/21.301/31.401/2.622 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   2.367 ms 0/11 (0%) 23.359/19.824/25.486/1.800 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.138 ms 0/11 (0%) 24.997/21.342/29.512/2.784 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.938 ms 0/12 (0%) 21.434/16.256/29.786/3.831 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.640 ms 0/11 (0%) 22.895/18.622/28.098/3.017 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.368 ms 0/12 (0%) 24.719/22.021/27.659/1.984 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.735 ms 0/11 (0%) 22.516/15.968/25.959/3.429 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  15400 Bytes  123200 bits/sec   2.838 ms 0/11 (0%) 23.668/20.709/26.205/1.831 ms 11 pps 11/0(0) pkts 1
[ *1] 24.00-25.00 sec  16800 Bytes  134400 bits/sec   2.783 ms 0/12 (0%) 23.396/19.016/26.914/2.327 ms 11 pps 12/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   2.887 ms 0/11 (0%) 22.398/18.669/26.262/2.494 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   2.720 ms 0/12 (0%) 23.391/19.800/26.894/2.089 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   2.715 ms 0/11 (0%) 25.522/22.157/29.841/2.201 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.497 ms 0/12 (0%) 23.703/13.936/27.957/3.740 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   4.076 ms 0/11 (0%) 23.732/19.620/30.310/3.338 ms 12 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   2.805 ms 0/12 (0%) 22.858/20.360/28.032/2.147 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   2.889 ms 0/11 (0%) 23.128/16.946/27.040/2.896 ms 12 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   2.541 ms 0/11 (0%) 23.874/20.381/26.648/1.858 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   3.287 ms 0/12 (0%) 23.330/16.029/30.615/3.654 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   3.135 ms 0/11 (0%) 22.897/18.229/27.620/2.838 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.317 ms 0/12 (0%) 23.284/19.117/26.014/2.222 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   3.333 ms 0/11 (0%) 21.846/18.742/26.864/2.424 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  15400 Bytes  123200 bits/sec   3.163 ms 0/11 (0%) 25.064/20.974/30.087/2.801 ms 11 pps 11/0(0) pkts 1
[ *1] 38.00-39.00 sec  16800 Bytes  134400 bits/sec   2.456 ms 0/12 (0%) 24.108/17.192/27.238/3.296 ms 11 pps 12/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   3.418 ms 0/11 (0%) 24.857/19.597/31.354/4.187 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   4.253 ms 0/12 (0%) 24.386/18.577/32.036/4.070 ms 12 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   3.299 ms 0/11 (0%) 22.984/20.719/25.793/1.894 ms 11 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   3.566 ms 0/12 (0%) 23.925/19.758/27.133/2.648 ms 11 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   3.984 ms 0/11 (0%) 21.854/15.158/26.325/3.510 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  16800 Bytes  134400 bits/sec   3.296 ms 0/12 (0%) 23.250/18.963/28.081/3.307 ms 11 pps 12/0(0) pkts 1
[ *1] 45.00-46.00 sec  15400 Bytes  123200 bits/sec   3.364 ms 0/11 (0%) 22.037/18.471/25.682/2.493 ms 11 pps 11/0(0) pkts 1
[ *1] 46.00-47.00 sec  15400 Bytes  123200 bits/sec   3.303 ms 0/11 (0%) 22.875/17.554/26.158/2.893 ms 11 pps 11/0(0) pkts 1
[ *1] 47.00-48.00 sec  16800 Bytes  134400 bits/sec   3.619 ms 0/12 (0%) 23.430/17.448/29.163/3.281 ms 11 pps 12/0(0) pkts 1
[ *1] 48.00-49.00 sec  15400 Bytes  123200 bits/sec   2.782 ms 0/11 (0%) 23.713/21.227/26.537/2.013 ms 11 pps 11/0(0) pkts 1
[ *1] 49.00-50.00 sec  16800 Bytes  134400 bits/sec   3.347 ms 0/12 (0%) 22.602/17.088/27.564/3.930 ms 11 pps 12/0(0) pkts 1
[ *1] 50.00-51.00 sec  15400 Bytes  123200 bits/sec   3.515 ms 0/11 (0%) 23.560/17.889/28.351/3.669 ms 11 pps 11/0(0) pkts 1
[ *1] 51.00-52.00 sec  16800 Bytes  134400 bits/sec   4.231 ms 0/12 (0%) 22.895/17.016/27.235/3.303 ms 12 pps 12/0(0) pkts 1
[ *1] 52.00-53.00 sec  15400 Bytes  123200 bits/sec   4.687 ms 0/11 (0%) 22.042/16.101/28.403/4.168 ms 11 pps 11/0(0) pkts 1
[ *1] 53.00-54.00 sec  15400 Bytes  123200 bits/sec   5.077 ms 0/11 (0%) 24.557/15.161/30.995/4.242 ms 11 pps 11/0(0) pkts 1
[ *1] 54.00-55.00 sec  16800 Bytes  134400 bits/sec   4.113 ms 0/12 (0%) 22.585/18.610/27.358/2.751 ms 11 pps 12/0(0) pkts 1
[ *1] 55.00-56.00 sec  15400 Bytes  123200 bits/sec   3.002 ms 0/11 (0%) 22.632/16.004/27.894/3.623 ms 12 pps 11/0(0) pkts 1
[ *1] 56.00-57.00 sec  16800 Bytes  134400 bits/sec   3.613 ms 0/12 (0%) 22.986/17.450/30.157/3.534 ms 11 pps 12/0(0) pkts 1
[ *1] 57.00-58.00 sec  15400 Bytes  123200 bits/sec   3.304 ms 0/11 (0%) 24.081/19.464/26.965/2.174 ms 11 pps 11/0(0) pkts 1
[ *1] 58.00-59.00 sec  15400 Bytes  123200 bits/sec   3.443 ms 0/11 (0%) 23.948/18.210/30.461/3.298 ms 11 pps 11/0(0) pkts 1
