------------------------------------------------------------
Client connecting to 10.0.100.19, UDP port 5060 with pid 58 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.1%uesimtun0 port 34212 connected with 10.0.100.19 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 20:43:41 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.936 ms 0/13 (0%) 22.629/18.632/26.567/8.168 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.846 ms 0/11 (0%) 23.746/17.122/28.871/3.642 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.001 ms 0/12 (0%) 23.498/19.439/30.024/2.714 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.134 ms 0/11 (0%) 23.938/18.078/27.620/2.798 ms 12 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.410 ms 0/11 (0%) 25.152/20.728/30.875/3.152 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.051 ms 0/12 (0%) 23.107/18.890/26.391/2.495 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   2.550 ms 0/11 (0%) 21.390/17.826/25.257/2.783 ms 12 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.168 ms 0/12 (0%) 22.339/17.013/29.044/3.398 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.541 ms 0/11 (0%) 24.075/19.696/27.916/2.900 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  15400 Bytes  123200 bits/sec   2.569 ms 0/11 (0%) 23.124/20.555/25.729/1.688 ms 11 pps 11/0(0) pkts 1
[ *1] 10.00-11.00 sec  16800 Bytes  134400 bits/sec   3.633 ms 0/12 (0%) 24.623/17.408/28.978/3.761 ms 11 pps 12/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.401 ms 0/11 (0%) 23.191/18.996/27.693/2.982 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.509 ms 0/12 (0%) 23.678/17.354/29.544/3.523 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.918 ms 0/11 (0%) 24.092/17.866/27.890/3.391 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.349 ms 0/12 (0%) 22.941/20.211/27.103/2.150 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   2.980 ms 0/11 (0%) 24.160/20.250/28.193/2.265 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.371 ms 0/12 (0%) 23.993/21.002/30.793/3.131 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.339 ms 0/11 (0%) 22.736/19.839/26.353/2.584 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.951 ms 0/11 (0%) 24.199/19.481/28.929/3.176 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.054 ms 0/12 (0%) 23.768/19.239/27.047/2.678 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.172 ms 0/11 (0%) 22.368/18.346/30.850/3.243 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.468 ms 0/12 (0%) 24.258/16.190/28.460/3.396 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.265 ms 0/11 (0%) 23.010/19.346/30.374/3.515 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.315 ms 0/12 (0%) 24.170/19.587/27.386/2.760 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   3.860 ms 0/11 (0%) 24.301/17.696/28.896/3.247 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.858 ms 0/11 (0%) 22.600/16.602/26.076/2.723 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.918 ms 0/12 (0%) 23.254/18.895/28.708/2.803 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.688 ms 0/11 (0%) 23.732/19.300/29.661/3.474 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.220 ms 0/12 (0%) 23.070/17.991/29.242/3.034 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   4.127 ms 0/11 (0%) 23.866/16.343/30.115/4.970 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   4.589 ms 0/12 (0%) 24.449/14.514/30.255/4.313 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   3.979 ms 0/11 (0%) 23.469/15.106/28.624/4.301 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   3.390 ms 0/11 (0%) 22.539/18.626/27.852/2.499 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   3.624 ms 0/12 (0%) 24.026/18.457/31.015/3.325 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   3.750 ms 0/11 (0%) 24.507/20.163/29.012/2.981 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.029 ms 0/12 (0%) 22.866/18.546/25.370/1.949 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   3.320 ms 0/11 (0%) 24.110/19.281/28.304/2.900 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  16800 Bytes  134400 bits/sec   2.974 ms 0/12 (0%) 23.018/19.218/26.682/2.138 ms 11 pps 12/0(0) pkts 1
[ *1] 38.00-39.00 sec  15400 Bytes  123200 bits/sec   3.653 ms 0/11 (0%) 24.992/19.394/30.511/3.108 ms 11 pps 11/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   4.138 ms 0/11 (0%) 24.683/19.916/31.162/3.049 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   3.026 ms 0/12 (0%) 23.665/18.755/27.162/2.567 ms 11 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   3.523 ms 0/11 (0%) 24.959/19.169/29.610/3.044 ms 11 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   4.372 ms 0/12 (0%) 22.735/17.479/30.593/3.497 ms 12 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   4.043 ms 0/11 (0%) 21.291/17.708/27.943/3.304 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  15400 Bytes  123200 bits/sec   4.199 ms 0/11 (0%) 23.752/17.990/28.603/3.208 ms 11 pps 11/0(0) pkts 1
