------------------------------------------------------------
Client connecting to 10.0.100.3, UDP port 5060 with pid 100 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.9%uesimtun0 port 37839 connected with 10.0.100.3 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:44:39 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   2.453 ms 0/13 (0%) 24.750/19.966/33.301/7.851 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   3.276 ms 0/11 (0%) 22.867/19.706/27.297/2.749 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.940 ms 0/12 (0%) 23.118/14.602/29.669/3.845 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.944 ms 0/11 (0%) 23.544/18.017/30.935/3.858 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.726 ms 0/11 (0%) 23.843/17.538/28.562/3.071 ms 12 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.319 ms 0/12 (0%) 21.876/19.231/26.138/2.339 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.269 ms 0/11 (0%) 22.193/16.052/25.099/2.620 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   2.818 ms 0/12 (0%) 23.543/20.343/28.039/2.351 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   2.749 ms 0/11 (0%) 22.857/19.561/27.450/2.667 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   2.992 ms 0/12 (0%) 24.607/19.454/30.163/3.039 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.596 ms 0/11 (0%) 24.410/17.235/29.354/3.663 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.262 ms 0/11 (0%) 22.732/19.418/27.501/2.491 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.459 ms 0/12 (0%) 23.185/18.984/30.874/3.272 ms 11 pps 12/0(0) pkts 1
