------------------------------------------------------------
Client connecting to 10.0.100.9, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.6%uesimtun0 port 36081 connected with 10.0.100.9 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:50:37 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.709 ms 0/13 (0%) 22.390/17.403/27.646/6.951 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.563 ms 0/11 (0%) 23.401/17.490/30.289/3.041 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   4.872 ms 0/12 (0%) 24.363/16.111/34.115/4.959 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.641 ms 0/11 (0%) 23.451/20.925/28.668/2.189 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.192 ms 0/11 (0%) 23.074/20.435/26.939/2.269 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.335 ms 0/12 (0%) 22.482/18.525/28.159/3.014 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.679 ms 0/11 (0%) 23.294/16.312/28.877/3.901 ms 12 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   2.503 ms 0/12 (0%) 24.386/22.011/28.177/2.366 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.321 ms 0/11 (0%) 23.423/17.969/27.076/3.164 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  15400 Bytes  123200 bits/sec   3.619 ms 0/11 (0%) 22.711/18.091/28.322/3.105 ms 11 pps 11/0(0) pkts 1
[ *1] 10.00-11.00 sec  16800 Bytes  134400 bits/sec   3.490 ms 0/12 (0%) 23.396/19.535/27.441/2.797 ms 11 pps 12/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.239 ms 0/11 (0%) 22.491/20.128/25.866/1.930 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.594 ms 0/12 (0%) 23.881/18.463/31.270/3.507 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   2.940 ms 0/11 (0%) 23.220/20.214/25.904/2.014 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   2.526 ms 0/12 (0%) 23.558/21.357/26.340/1.719 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   2.849 ms 0/11 (0%) 22.766/17.633/27.577/3.408 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  15400 Bytes  123200 bits/sec   3.133 ms 0/11 (0%) 22.557/19.123/26.803/2.556 ms 11 pps 11/0(0) pkts 1
[ *1] 17.00-18.00 sec  16800 Bytes  134400 bits/sec   2.850 ms 0/12 (0%) 23.439/18.967/27.743/2.320 ms 11 pps 12/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   2.931 ms 0/11 (0%) 22.911/18.900/28.463/3.080 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   2.162 ms 0/12 (0%) 22.646/19.908/25.645/1.650 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.255 ms 0/11 (0%) 23.268/18.851/28.663/3.414 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   2.821 ms 0/12 (0%) 24.228/21.228/27.466/2.167 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   2.975 ms 0/11 (0%) 24.900/20.574/30.230/3.095 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.009 ms 0/12 (0%) 23.554/19.126/28.567/2.822 ms 11 pps 12/0(0) pkts 1
