------------------------------------------------------------
Client connecting to 10.0.100.11, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.2%uesimtun0 port 41339 connected with 10.0.100.11 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:50:37 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   2.329 ms 0/13 (0%) 24.343/15.041/31.310/8.497 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.030 ms 0/11 (0%) 24.379/20.934/26.572/1.709 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.413 ms 0/12 (0%) 24.419/18.891/29.589/3.329 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.518 ms 0/11 (0%) 21.168/14.811/27.004/3.808 ms 12 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.158 ms 0/11 (0%) 24.053/18.858/26.206/2.138 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.384 ms 0/12 (0%) 24.287/19.528/29.806/3.339 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.352 ms 0/11 (0%) 23.123/19.494/26.877/2.263 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   2.998 ms 0/12 (0%) 23.874/19.416/28.327/2.476 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.827 ms 0/11 (0%) 22.490/18.713/26.885/3.291 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  15400 Bytes  123200 bits/sec   3.906 ms 0/11 (0%) 22.853/18.704/27.341/2.893 ms 11 pps 11/0(0) pkts 1
[ *1] 10.00-11.00 sec  16800 Bytes  134400 bits/sec   3.846 ms 0/12 (0%) 23.197/15.134/28.305/3.739 ms 11 pps 12/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.696 ms 0/11 (0%) 22.709/18.293/28.742/2.872 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.537 ms 0/12 (0%) 24.470/19.561/30.371/3.516 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.445 ms 0/11 (0%) 24.599/20.084/28.381/2.615 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.120 ms 0/12 (0%) 24.935/19.755/30.457/3.494 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.366 ms 0/11 (0%) 25.496/21.341/30.612/2.954 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.530 ms 0/12 (0%) 24.194/19.179/29.889/3.297 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.408 ms 0/11 (0%) 25.093/20.906/28.930/2.577 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.892 ms 0/11 (0%) 22.866/17.031/27.864/3.368 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.267 ms 0/12 (0%) 23.928/19.332/26.902/2.515 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   2.836 ms 0/11 (0%) 23.070/18.235/26.923/2.803 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.212 ms 0/12 (0%) 24.330/20.381/29.534/2.923 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.396 ms 0/11 (0%) 22.008/15.846/25.010/2.627 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   2.841 ms 0/12 (0%) 23.916/20.867/30.872/2.768 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   4.068 ms 0/11 (0%) 23.488/18.553/29.443/3.624 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   4.646 ms 0/11 (0%) 25.740/21.486/31.456/3.533 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   4.036 ms 0/12 (0%) 24.008/20.252/28.329/2.619 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.602 ms 0/11 (0%) 23.979/20.551/30.880/3.411 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   2.772 ms 0/12 (0%) 24.021/21.984/26.485/1.394 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.154 ms 0/11 (0%) 23.988/18.006/27.231/2.973 ms 12 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  15400 Bytes  123200 bits/sec   4.170 ms 0/11 (0%) 22.489/17.948/29.240/3.383 ms 11 pps 11/0(0) pkts 1
[ *1] 31.00-32.00 sec  16800 Bytes  134400 bits/sec   3.248 ms 0/12 (0%) 22.414/17.429/27.217/2.673 ms 11 pps 12/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   2.845 ms 0/11 (0%) 24.984/22.120/28.758/1.910 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   2.968 ms 0/12 (0%) 23.050/18.193/26.487/2.588 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   3.020 ms 0/11 (0%) 23.107/17.672/30.219/3.490 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   4.287 ms 0/12 (0%) 23.764/18.421/29.324/3.741 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   3.626 ms 0/11 (0%) 21.619/18.925/26.198/2.544 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  15400 Bytes  123200 bits/sec   3.245 ms 0/11 (0%) 23.640/17.645/27.445/3.256 ms 11 pps 11/0(0) pkts 1
[ *1] 38.00-39.00 sec  16800 Bytes  134400 bits/sec   3.954 ms 0/12 (0%) 24.290/17.023/31.184/3.739 ms 11 pps 12/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   3.548 ms 0/11 (0%) 23.980/20.559/29.934/2.682 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   3.530 ms 0/12 (0%) 23.170/19.622/28.424/2.796 ms 11 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   3.337 ms 0/11 (0%) 23.222/16.015/27.662/3.310 ms 11 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   2.933 ms 0/12 (0%) 24.017/20.910/29.724/2.663 ms 11 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   3.053 ms 0/11 (0%) 24.534/19.281/30.259/2.992 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  15400 Bytes  123200 bits/sec   2.319 ms 0/11 (0%) 23.508/20.786/28.221/2.103 ms 11 pps 11/0(0) pkts 1
[ *1] 45.00-46.00 sec  16800 Bytes  134400 bits/sec   3.493 ms 0/12 (0%) 24.036/13.917/29.624/4.137 ms 11 pps 12/0(0) pkts 1
[ *1] 46.00-47.00 sec  15400 Bytes  123200 bits/sec   3.045 ms 0/11 (0%) 22.516/19.491/26.921/2.271 ms 12 pps 11/0(0) pkts 1
[ *1] 47.00-48.00 sec  16800 Bytes  134400 bits/sec   3.294 ms 0/12 (0%) 25.178/21.526/30.925/3.326 ms 11 pps 12/0(0) pkts 1
[ *1] 48.00-49.00 sec  15400 Bytes  123200 bits/sec   2.634 ms 0/11 (0%) 24.529/21.534/27.562/2.091 ms 11 pps 11/0(0) pkts 1
[ *1] 49.00-50.00 sec  16800 Bytes  134400 bits/sec   3.499 ms 0/12 (0%) 22.957/18.385/29.635/3.088 ms 11 pps 12/0(0) pkts 1
[ *1] 50.00-51.00 sec  15400 Bytes  123200 bits/sec   4.099 ms 0/11 (0%) 21.728/16.589/26.810/3.701 ms 11 pps 11/0(0) pkts 1
[ *1] 51.00-52.00 sec  16800 Bytes  134400 bits/sec   3.379 ms 0/12 (0%) 22.602/16.894/25.991/2.380 ms 11 pps 12/0(0) pkts 1
[ *1] 52.00-53.00 sec  15400 Bytes  123200 bits/sec   4.191 ms 0/11 (0%) 23.179/19.830/31.310/4.091 ms 11 pps 11/0(0) pkts 1
[ *1] 53.00-54.00 sec  15400 Bytes  123200 bits/sec   3.976 ms 0/11 (0%) 22.833/19.334/28.356/2.896 ms 11 pps 11/0(0) pkts 1
[ *1] 54.00-55.00 sec  16800 Bytes  134400 bits/sec   3.802 ms 0/12 (0%) 24.301/18.377/29.324/3.633 ms 11 pps 12/0(0) pkts 1
[ *1] 55.00-56.00 sec  15400 Bytes  123200 bits/sec   3.382 ms 0/11 (0%) 23.322/18.746/27.896/2.938 ms 11 pps 11/0(0) pkts 1
[ *1] 56.00-57.00 sec  16800 Bytes  134400 bits/sec   2.676 ms 0/12 (0%) 24.038/21.528/26.600/1.655 ms 11 pps 12/0(0) pkts 1
[ *1] 57.00-58.00 sec  15400 Bytes  123200 bits/sec   2.893 ms 0/11 (0%) 24.334/18.821/28.983/3.655 ms 11 pps 11/0(0) pkts 1
[ *1] 58.00-59.00 sec  16800 Bytes  134400 bits/sec   3.201 ms 0/12 (0%) 23.277/18.184/26.486/2.833 ms 11 pps 12/0(0) pkts 1
[ *1] 59.00-60.00 sec  15400 Bytes  123200 bits/sec   3.366 ms 0/11 (0%) 24.706/20.615/31.066/3.272 ms 11 pps 11/0(0) pkts 1
[ *1] 60.00-61.00 sec  15400 Bytes  123200 bits/sec   3.894 ms 0/11 (0%) 23.856/18.646/28.539/3.746 ms 11 pps 11/0(0) pkts 1
