------------------------------------------------------------
Client connecting to 10.0.100.19, UDP port 5060 with pid 58 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.1%uesimtun0 port 58580 connected with 10.0.100.19 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:50:38 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   2.136 ms 0/13 (0%) 25.073/19.829/30.926/8.326 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.951 ms 0/11 (0%) 23.265/16.918/28.867/3.963 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   2.764 ms 0/12 (0%) 23.464/20.007/26.520/2.269 ms 12 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   2.709 ms 0/11 (0%) 22.857/17.531/27.942/3.092 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.035 ms 0/11 (0%) 24.681/19.814/28.569/3.051 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   2.882 ms 0/12 (0%) 23.293/19.669/26.912/2.755 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.302 ms 0/11 (0%) 22.479/17.578/28.113/3.343 ms 12 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.040 ms 0/12 (0%) 23.908/20.400/27.660/2.644 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.113 ms 0/11 (0%) 23.962/18.810/28.402/2.585 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.330 ms 0/12 (0%) 23.052/17.828/27.278/2.853 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.469 ms 0/11 (0%) 22.915/19.482/28.359/2.692 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.081 ms 0/11 (0%) 23.197/19.293/30.009/3.086 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.165 ms 0/12 (0%) 23.706/16.232/28.504/3.162 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.156 ms 0/11 (0%) 23.895/20.208/28.135/2.440 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   2.966 ms 0/12 (0%) 21.245/17.262/24.026/2.337 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.152 ms 0/11 (0%) 22.827/17.704/29.233/3.599 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.489 ms 0/12 (0%) 23.128/17.382/27.295/3.110 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.521 ms 0/11 (0%) 22.612/15.622/28.708/3.817 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   2.807 ms 0/11 (0%) 22.674/19.958/24.659/1.606 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   2.704 ms 0/12 (0%) 23.508/18.835/28.975/3.045 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   2.907 ms 0/11 (0%) 23.763/19.209/30.155/2.779 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   2.665 ms 0/12 (0%) 24.171/21.044/28.680/2.394 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.142 ms 0/11 (0%) 23.946/18.351/28.232/2.848 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.233 ms 0/12 (0%) 22.695/16.213/25.477/3.057 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   3.573 ms 0/11 (0%) 21.988/16.743/26.870/3.332 ms 12 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.210 ms 0/11 (0%) 23.681/18.293/28.415/3.184 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   4.671 ms 0/12 (0%) 22.949/17.847/32.199/4.515 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   4.138 ms 0/11 (0%) 22.165/16.595/26.391/3.203 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.583 ms 0/12 (0%) 22.722/18.546/27.495/2.690 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.046 ms 0/11 (0%) 24.588/21.954/29.230/2.194 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   2.580 ms 0/12 (0%) 23.235/19.315/27.223/2.604 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   3.401 ms 0/11 (0%) 22.845/18.216/27.646/3.397 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   3.216 ms 0/11 (0%) 24.221/20.422/28.403/2.569 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   3.406 ms 0/12 (0%) 22.411/18.332/26.057/2.847 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   2.791 ms 0/11 (0%) 23.279/19.929/27.008/1.927 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.304 ms 0/12 (0%) 24.191/18.222/28.869/2.863 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   3.618 ms 0/11 (0%) 23.968/18.826/26.926/2.829 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  15400 Bytes  123200 bits/sec   2.656 ms 0/11 (0%) 22.711/20.043/26.322/1.915 ms 11 pps 11/0(0) pkts 1
[ *1] 38.00-39.00 sec  16800 Bytes  134400 bits/sec   3.773 ms 0/12 (0%) 22.151/15.077/26.067/3.194 ms 11 pps 12/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   2.626 ms 0/11 (0%) 23.517/21.983/25.247/1.275 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   3.235 ms 0/12 (0%) 24.146/19.268/29.650/3.052 ms 11 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   3.827 ms 0/11 (0%) 21.895/17.599/27.593/3.496 ms 12 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   3.095 ms 0/12 (0%) 23.513/18.314/27.641/2.936 ms 11 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   3.266 ms 0/11 (0%) 21.682/16.026/26.023/2.627 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  15400 Bytes  123200 bits/sec   3.021 ms 0/11 (0%) 22.925/19.615/27.659/2.255 ms 11 pps 11/0(0) pkts 1
[ *1] 45.00-46.00 sec  16800 Bytes  134400 bits/sec   3.333 ms 0/12 (0%) 23.628/18.384/28.056/3.380 ms 11 pps 12/0(0) pkts 1
[ *1] 46.00-47.00 sec  15400 Bytes  123200 bits/sec   2.547 ms 0/11 (0%) 22.947/20.028/27.089/2.829 ms 11 pps 11/0(0) pkts 1
[ *1] 47.00-48.00 sec  16800 Bytes  134400 bits/sec   2.725 ms 0/12 (0%) 23.287/19.518/26.860/2.387 ms 11 pps 12/0(0) pkts 1
[ *1] 48.00-49.00 sec  15400 Bytes  123200 bits/sec   2.892 ms 0/11 (0%) 23.865/17.512/28.589/3.033 ms 12 pps 11/0(0) pkts 1
[ *1] 49.00-50.00 sec  16800 Bytes  134400 bits/sec   2.999 ms 0/12 (0%) 23.674/17.043/27.569/3.066 ms 11 pps 12/0(0) pkts 1
[ *1] 50.00-51.00 sec  15400 Bytes  123200 bits/sec   4.269 ms 0/11 (0%) 24.759/18.237/32.118/4.006 ms 11 pps 11/0(0) pkts 1
[ *1] 51.00-52.00 sec  15400 Bytes  123200 bits/sec   3.610 ms 0/11 (0%) 24.782/18.976/28.888/2.957 ms 11 pps 11/0(0) pkts 1
[ *1] 52.00-53.00 sec  16800 Bytes  134400 bits/sec   3.368 ms 0/12 (0%) 23.744/18.843/28.441/2.745 ms 11 pps 12/0(0) pkts 1
[ *1] 53.00-54.00 sec  15400 Bytes  123200 bits/sec   3.905 ms 0/11 (0%) 23.380/17.780/28.455/2.955 ms 11 pps 11/0(0) pkts 1
[ *1] 54.00-55.00 sec  16800 Bytes  134400 bits/sec   4.460 ms 0/12 (0%) 24.705/17.728/29.990/3.502 ms 11 pps 12/0(0) pkts 1
[ *1] 55.00-56.00 sec  15400 Bytes  123200 bits/sec   4.356 ms 0/11 (0%) 23.501/17.166/27.776/3.105 ms 11 pps 11/0(0) pkts 1
[ *1] 56.00-57.00 sec  16800 Bytes  134400 bits/sec   4.609 ms 0/12 (0%) 23.501/18.827/29.064/3.206 ms 11 pps 12/0(0) pkts 1
[ *1] 57.00-58.00 sec  15400 Bytes  123200 bits/sec   3.966 ms 0/11 (0%) 22.646/15.590/26.520/3.022 ms 11 pps 11/0(0) pkts 1
[ *1] 58.00-59.00 sec  15400 Bytes  123200 bits/sec   3.122 ms 0/11 (0%) 20.375/16.854/24.331/1.908 ms 11 pps 11/0(0) pkts 1
[ *1] 59.00-60.00 sec  16800 Bytes  134400 bits/sec   3.315 ms 0/12 (0%) 22.230/17.055/26.942/2.852 ms 11 pps 12/0(0) pkts 1
[ *1] 60.00-61.00 sec  15400 Bytes  123200 bits/sec   2.957 ms 0/11 (0%) 24.622/19.249/28.877/3.004 ms 11 pps 11/0(0) pkts 1
[ *1] 61.00-62.00 sec  16800 Bytes  134400 bits/sec   3.504 ms 0/12 (0%) 22.335/16.333/27.059/3.288 ms 11 pps 12/0(0) pkts 1
[ *1] 62.00-63.00 sec  15400 Bytes  123200 bits/sec   3.614 ms 0/11 (0%) 24.390/15.662/29.596/3.502 ms 11 pps 11/0(0) pkts 1
[ *1] 63.00-64.00 sec  16800 Bytes  134400 bits/sec   3.676 ms 0/12 (0%) 24.402/19.769/29.840/3.067 ms 11 pps 12/0(0) pkts 1
[ *1] 64.00-65.00 sec  15400 Bytes  123200 bits/sec   3.011 ms 0/11 (0%) 22.900/17.957/26.605/2.737 ms 11 pps 11/0(0) pkts 1
[ *1] 65.00-66.00 sec  16800 Bytes  134400 bits/sec   3.026 ms 0/12 (0%) 22.184/16.588/28.549/4.380 ms 11 pps 12/0(0) pkts 1
[ *1] 66.00-67.00 sec  15400 Bytes  123200 bits/sec   2.600 ms 0/11 (0%) 22.848/20.033/28.909/2.581 ms 11 pps 11/0(0) pkts 1
[ *1] 67.00-68.00 sec  15400 Bytes  123200 bits/sec   2.839 ms 0/11 (0%) 24.517/20.689/28.841/2.168 ms 11 pps 11/0(0) pkts 1
[ *1] 68.00-69.00 sec  16800 Bytes  134400 bits/sec   2.267 ms 0/12 (0%) 24.070/21.074/26.819/2.140 ms 11 pps 12/0(0) pkts 1
[ *1] 69.00-70.00 sec  15400 Bytes  123200 bits/sec   1.905 ms 0/11 (0%) 25.353/22.186/29.144/1.938 ms 11 pps 11/0(0) pkts 1
[ *1] 70.00-71.00 sec  16800 Bytes  134400 bits/sec   2.790 ms 0/12 (0%) 23.634/19.281/28.170/2.974 ms 11 pps 12/0(0) pkts 1
[ *1] 71.00-72.00 sec  15400 Bytes  123200 bits/sec   3.574 ms 0/11 (0%) 24.229/15.522/30.481/4.513 ms 11 pps 11/0(0) pkts 1
[ *1] 72.00-73.00 sec  15400 Bytes  123200 bits/sec   3.601 ms 0/11 (0%) 23.690/20.063/27.739/2.603 ms 11 pps 11/0(0) pkts 1
[ *1] 73.00-74.00 sec  16800 Bytes  134400 bits/sec   3.480 ms 0/12 (0%) 23.151/17.382/27.452/2.915 ms 11 pps 12/0(0) pkts 1
[ *1] 74.00-75.00 sec  15400 Bytes  123200 bits/sec   2.753 ms 0/11 (0%) 22.070/19.695/25.621/1.996 ms 11 pps 11/0(0) pkts 1
[ *1] 75.00-76.00 sec  16800 Bytes  134400 bits/sec   3.668 ms 0/12 (0%) 22.469/17.347/29.198/3.406 ms 11 pps 12/0(0) pkts 1
[ *1] 76.00-77.00 sec  15400 Bytes  123200 bits/sec   3.681 ms 0/11 (0%) 25.153/18.835/30.119/3.686 ms 11 pps 11/0(0) pkts 1
