------------------------------------------------------------
Client connecting to 10.0.100.15, UDP port 5060 with pid 58 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.7%uesimtun0 port 55036 connected with 10.0.100.15 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:50:38 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.882 ms 0/13 (0%) 24.219/20.170/28.071/6.672 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.183 ms 0/11 (0%) 23.226/19.619/27.063/2.485 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   2.288 ms 0/12 (0%) 23.438/20.192/27.289/2.171 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   2.637 ms 0/11 (0%) 23.464/20.285/28.582/2.574 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   2.941 ms 0/11 (0%) 23.111/18.109/27.072/2.853 ms 12 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   2.970 ms 0/12 (0%) 23.285/17.899/30.001/3.343 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.543 ms 0/11 (0%) 22.165/17.278/27.260/3.183 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.110 ms 0/12 (0%) 22.804/19.388/26.088/2.433 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.142 ms 0/11 (0%) 24.564/20.541/30.379/2.989 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.145 ms 0/12 (0%) 24.020/17.637/28.045/3.398 ms 12 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   2.806 ms 0/11 (0%) 24.065/21.478/26.556/1.637 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.578 ms 0/11 (0%) 22.319/14.616/25.851/3.170 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   2.686 ms 0/12 (0%) 25.325/22.099/28.524/1.923 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   4.062 ms 0/11 (0%) 23.399/18.926/28.895/3.484 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.036 ms 0/12 (0%) 24.107/18.641/26.747/2.482 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.522 ms 0/11 (0%) 23.154/17.137/28.790/3.181 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.416 ms 0/12 (0%) 23.122/18.974/28.573/2.853 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   2.871 ms 0/11 (0%) 23.255/19.710/27.323/2.122 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.213 ms 0/11 (0%) 23.300/19.120/28.323/2.823 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.215 ms 0/12 (0%) 24.088/18.732/29.795/2.985 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   2.807 ms 0/11 (0%) 25.405/21.285/29.603/2.651 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.321 ms 0/12 (0%) 23.445/18.142/30.244/3.945 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.688 ms 0/11 (0%) 22.720/17.148/26.092/2.830 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   2.895 ms 0/12 (0%) 22.338/19.353/27.332/2.387 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   2.952 ms 0/11 (0%) 23.131/19.409/28.835/2.930 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   4.308 ms 0/11 (0%) 23.753/18.442/31.523/4.026 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.831 ms 0/12 (0%) 21.454/16.162/25.119/2.592 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   2.973 ms 0/11 (0%) 22.154/19.001/27.411/2.434 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   2.430 ms 0/12 (0%) 23.860/20.799/27.281/2.297 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   2.707 ms 0/11 (0%) 22.478/17.326/26.189/2.638 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   2.724 ms 0/12 (0%) 23.399/19.420/26.549/2.289 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   2.540 ms 0/11 (0%) 23.055/18.467/26.516/2.316 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   3.140 ms 0/11 (0%) 22.398/18.145/27.171/3.542 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   2.820 ms 0/12 (0%) 23.751/19.328/27.696/2.821 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   2.510 ms 0/11 (0%) 24.587/21.910/28.693/2.032 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.146 ms 0/12 (0%) 24.039/20.349/28.310/2.699 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   2.872 ms 0/11 (0%) 23.697/20.950/28.760/2.503 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  16800 Bytes  134400 bits/sec   4.932 ms 0/12 (0%) 23.558/16.014/31.884/4.615 ms 11 pps 12/0(0) pkts 1
[ *1] 38.00-39.00 sec  15400 Bytes  123200 bits/sec   4.105 ms 0/11 (0%) 23.569/19.269/29.247/3.156 ms 11 pps 11/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   3.586 ms 0/11 (0%) 23.940/18.457/29.310/2.676 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   3.052 ms 0/12 (0%) 23.531/19.006/27.473/2.401 ms 11 pps 12/0(0) pkts 1
