------------------------------------------------------------
Client connecting to 10.0.100.3, UDP port 5060 with pid 106 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.9%uesimtun0 port 40872 connected with 10.0.100.3 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 18:46:22 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   3.045 ms 0/13 (0%) 22.656/17.492/28.865/7.409 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   3.032 ms 0/11 (0%) 24.811/18.146/29.179/2.810 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  15400 Bytes  123200 bits/sec   2.722 ms 0/11 (0%) 23.136/19.503/26.426/2.526 ms 11 pps 11/0(0) pkts 1
[ *1] 3.00-4.00 sec  16800 Bytes  134400 bits/sec   2.705 ms 0/12 (0%) 23.930/20.000/27.703/2.527 ms 11 pps 12/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   2.599 ms 0/11 (0%) 22.929/20.143/27.428/2.266 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.373 ms 0/12 (0%) 24.063/17.336/31.158/3.652 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   4.329 ms 0/11 (0%) 23.684/18.664/30.159/4.071 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   4.419 ms 0/12 (0%) 25.576/19.565/31.313/3.562 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.576 ms 0/11 (0%) 23.040/18.851/25.502/2.109 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.408 ms 0/12 (0%) 23.454/17.929/27.587/2.692 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.407 ms 0/11 (0%) 21.548/16.762/28.580/3.714 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   2.865 ms 0/11 (0%) 23.389/20.607/25.875/1.590 ms 12 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.384 ms 0/12 (0%) 24.173/15.835/29.500/3.414 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   2.906 ms 0/11 (0%) 24.139/20.685/28.499/2.301 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.475 ms 0/12 (0%) 24.940/18.405/28.642/3.005 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.928 ms 0/11 (0%) 24.038/19.122/28.530/3.011 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  15400 Bytes  123200 bits/sec   4.076 ms 0/11 (0%) 23.853/18.155/29.092/3.422 ms 11 pps 11/0(0) pkts 1
[ *1] 17.00-18.00 sec  16800 Bytes  134400 bits/sec   3.289 ms 0/12 (0%) 23.778/20.223/27.703/2.012 ms 11 pps 12/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.274 ms 0/11 (0%) 24.223/20.792/28.835/2.375 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.762 ms 0/12 (0%) 23.261/18.407/27.600/3.070 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.367 ms 0/11 (0%) 22.124/17.478/24.843/2.380 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.488 ms 0/12 (0%) 24.389/17.686/27.697/2.672 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.803 ms 0/11 (0%) 23.552/19.826/27.167/2.699 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  15400 Bytes  123200 bits/sec   2.693 ms 0/11 (0%) 21.248/17.568/23.980/2.137 ms 11 pps 11/0(0) pkts 1
[ *1] 24.00-25.00 sec  16800 Bytes  134400 bits/sec   4.002 ms 0/12 (0%) 23.124/17.543/30.552/3.872 ms 11 pps 12/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.343 ms 0/11 (0%) 24.248/22.009/27.369/1.950 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.424 ms 0/12 (0%) 22.262/18.066/27.138/2.570 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.364 ms 0/11 (0%) 23.583/17.540/29.316/3.020 ms 11 pps 11/0(0) pkts 1
