------------------------------------------------------------
Client connecting to 10.0.100.9, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.7%uesimtun0 port 49737 connected with 10.0.100.9 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 18:46:22 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   2.277 ms 0/13 (0%) 23.064/16.809/29.301/7.897 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.622 ms 0/11 (0%) 22.142/16.548/25.192/2.639 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  15400 Bytes  123200 bits/sec   3.145 ms 0/11 (0%) 22.765/17.477/29.957/4.053 ms 11 pps 11/0(0) pkts 1
[ *1] 3.00-4.00 sec  16800 Bytes  134400 bits/sec   3.910 ms 0/12 (0%) 22.778/15.975/27.375/3.853 ms 11 pps 12/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.959 ms 0/11 (0%) 22.707/18.819/26.777/2.748 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.303 ms 0/12 (0%) 22.721/17.173/25.948/2.954 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   4.235 ms 0/11 (0%) 23.974/18.450/29.664/3.981 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.547 ms 0/12 (0%) 25.236/19.036/29.776/3.289 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   2.809 ms 0/11 (0%) 23.253/20.053/27.489/2.344 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.071 ms 0/12 (0%) 24.231/20.433/29.926/2.444 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.081 ms 0/11 (0%) 23.770/17.825/28.323/2.896 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.433 ms 0/11 (0%) 23.434/17.892/27.678/2.852 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.751 ms 0/12 (0%) 23.136/15.545/29.950/3.551 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.573 ms 0/11 (0%) 23.218/18.647/27.212/2.761 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.334 ms 0/12 (0%) 23.181/20.954/27.631/2.318 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.480 ms 0/11 (0%) 24.016/16.700/27.264/3.117 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.674 ms 0/12 (0%) 23.788/19.465/30.462/2.995 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.714 ms 0/11 (0%) 22.891/18.905/27.770/2.956 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   4.382 ms 0/11 (0%) 23.463/18.020/29.734/4.162 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.119 ms 0/12 (0%) 23.374/18.492/27.947/3.033 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.106 ms 0/11 (0%) 19.763/15.069/22.972/2.551 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   2.769 ms 0/12 (0%) 24.097/18.558/29.475/3.035 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.168 ms 0/11 (0%) 21.983/16.494/27.696/2.964 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.878 ms 0/12 (0%) 22.784/18.232/27.095/3.062 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   4.084 ms 0/11 (0%) 24.248/18.229/29.648/3.474 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   4.028 ms 0/11 (0%) 23.811/17.506/28.219/3.086 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   2.953 ms 0/12 (0%) 24.849/20.713/29.794/2.873 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   2.492 ms 0/11 (0%) 23.835/21.314/26.514/1.680 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.086 ms 0/12 (0%) 24.321/17.496/29.005/2.964 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.276 ms 0/11 (0%) 22.562/16.068/31.885/4.008 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   3.382 ms 0/12 (0%) 22.063/17.582/28.738/3.739 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   4.233 ms 0/11 (0%) 23.167/17.375/29.017/4.076 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   4.417 ms 0/11 (0%) 25.133/19.815/29.134/3.281 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   3.646 ms 0/12 (0%) 21.535/15.775/25.026/2.691 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   2.995 ms 0/11 (0%) 23.175/17.979/26.992/2.546 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.443 ms 0/12 (0%) 23.743/19.111/29.956/3.257 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   4.166 ms 0/11 (0%) 22.805/15.817/27.458/3.433 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  16800 Bytes  134400 bits/sec   3.186 ms 0/12 (0%) 23.092/18.215/27.427/2.688 ms 11 pps 12/0(0) pkts 1
[ *1] 38.00-39.00 sec  15400 Bytes  123200 bits/sec   3.493 ms 0/11 (0%) 23.499/19.542/26.402/2.836 ms 11 pps 11/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   2.833 ms 0/11 (0%) 24.355/20.720/29.122/2.433 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   3.447 ms 0/12 (0%) 22.401/18.850/27.665/2.926 ms 12 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   2.652 ms 0/11 (0%) 24.016/20.623/29.074/2.437 ms 11 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   2.638 ms 0/12 (0%) 24.420/20.715/29.118/2.361 ms 12 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   2.737 ms 0/11 (0%) 23.896/20.450/26.574/2.334 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  16800 Bytes  134400 bits/sec   3.515 ms 0/12 (0%) 24.447/16.634/30.443/3.735 ms 11 pps 12/0(0) pkts 1
[ *1] 45.00-46.00 sec  15400 Bytes  123200 bits/sec   3.248 ms 0/11 (0%) 23.509/18.493/27.711/2.390 ms 11 pps 11/0(0) pkts 1
[ *1] 46.00-47.00 sec  15400 Bytes  123200 bits/sec   3.833 ms 0/11 (0%) 23.467/15.293/28.915/3.755 ms 11 pps 11/0(0) pkts 1
[ *1] 47.00-48.00 sec  16800 Bytes  134400 bits/sec   4.245 ms 0/12 (0%) 21.846/14.869/26.825/3.585 ms 11 pps 12/0(0) pkts 1
[ *1] 48.00-49.00 sec  15400 Bytes  123200 bits/sec   3.301 ms 0/11 (0%) 23.034/20.969/26.027/1.786 ms 11 pps 11/0(0) pkts 1
[ *1] 49.00-50.00 sec  16800 Bytes  134400 bits/sec   3.722 ms 0/12 (0%) 23.934/19.954/29.543/2.927 ms 11 pps 12/0(0) pkts 1
[ *1] 50.00-51.00 sec  15400 Bytes  123200 bits/sec   3.143 ms 0/11 (0%) 23.927/21.317/27.436/2.209 ms 11 pps 11/0(0) pkts 1
[ *1] 51.00-52.00 sec  15400 Bytes  123200 bits/sec   3.399 ms 0/11 (0%) 22.741/17.658/28.048/2.784 ms 11 pps 11/0(0) pkts 1
[ *1] 52.00-53.00 sec  16800 Bytes  134400 bits/sec   3.545 ms 0/12 (0%) 23.057/17.359/29.052/3.137 ms 11 pps 12/0(0) pkts 1
[ *1] 53.00-54.00 sec  15400 Bytes  123200 bits/sec   3.425 ms 0/11 (0%) 22.928/18.846/27.016/2.548 ms 11 pps 11/0(0) pkts 1
[ *1] 54.00-55.00 sec  16800 Bytes  134400 bits/sec   3.343 ms 0/12 (0%) 24.567/20.575/28.620/2.346 ms 11 pps 12/0(0) pkts 1
[ *1] 55.00-56.00 sec  15400 Bytes  123200 bits/sec   3.558 ms 0/11 (0%) 22.082/16.597/29.797/3.912 ms 11 pps 11/0(0) pkts 1
[ *1] 56.00-57.00 sec  16800 Bytes  134400 bits/sec   3.450 ms 0/12 (0%) 26.035/21.978/30.227/2.597 ms 11 pps 12/0(0) pkts 1
[ *1] 57.00-58.00 sec  15400 Bytes  123200 bits/sec   3.928 ms 0/11 (0%) 23.104/17.896/27.088/3.158 ms 11 pps 11/0(0) pkts 1
[ *1] 58.00-59.00 sec  16800 Bytes  134400 bits/sec   4.258 ms 0/12 (0%) 22.359/16.891/26.306/2.940 ms 11 pps 12/0(0) pkts 1
[ *1] 59.00-60.00 sec  15400 Bytes  123200 bits/sec   3.219 ms 0/11 (0%) 24.373/21.158/27.245/1.696 ms 11 pps 11/0(0) pkts 1
[ *1] 60.00-61.00 sec  15400 Bytes  123200 bits/sec   2.850 ms 0/11 (0%) 24.405/19.632/27.209/2.518 ms 11 pps 11/0(0) pkts 1
[ *1] 61.00-62.00 sec  16800 Bytes  134400 bits/sec   2.963 ms 0/12 (0%) 22.464/18.420/26.449/2.704 ms 11 pps 12/0(0) pkts 1
[ *1] 62.00-63.00 sec  15400 Bytes  123200 bits/sec   3.939 ms 0/11 (0%) 23.791/18.663/30.178/3.740 ms 11 pps 11/0(0) pkts 1
[ *1] 63.00-64.00 sec  16800 Bytes  134400 bits/sec   3.667 ms 0/12 (0%) 22.519/16.899/25.538/2.737 ms 11 pps 12/0(0) pkts 1
[ *1] 64.00-65.00 sec  15400 Bytes  123200 bits/sec   3.387 ms 0/11 (0%) 23.886/18.865/29.027/2.873 ms 11 pps 11/0(0) pkts 1
[ *1] 65.00-66.00 sec  16800 Bytes  134400 bits/sec   3.339 ms 0/12 (0%) 24.573/20.342/29.113/2.993 ms 11 pps 12/0(0) pkts 1
[ *1] 66.00-67.00 sec  15400 Bytes  123200 bits/sec   3.203 ms 0/11 (0%) 23.072/18.803/28.687/3.378 ms 11 pps 11/0(0) pkts 1
[ *1] 67.00-68.00 sec  15400 Bytes  123200 bits/sec   3.487 ms 0/11 (0%) 23.510/19.777/28.796/3.292 ms 11 pps 11/0(0) pkts 1
[ *1] 68.00-69.00 sec  16800 Bytes  134400 bits/sec   2.806 ms 0/12 (0%) 24.426/21.890/28.417/1.859 ms 11 pps 12/0(0) pkts 1
[ *1] 69.00-70.00 sec  15400 Bytes  123200 bits/sec   2.826 ms 0/11 (0%) 23.760/21.184/26.492/1.782 ms 11 pps 11/0(0) pkts 1
[ *1] 70.00-71.00 sec  16800 Bytes  134400 bits/sec   2.928 ms 0/12 (0%) 23.933/19.341/28.963/2.638 ms 11 pps 12/0(0) pkts 1
[ *1] 71.00-72.00 sec  15400 Bytes  123200 bits/sec   4.143 ms 0/11 (0%) 24.884/18.689/32.963/4.306 ms 11 pps 11/0(0) pkts 1
[ *1] 72.00-73.00 sec  16800 Bytes  134400 bits/sec   3.954 ms 0/12 (0%) 23.507/19.160/31.479/3.684 ms 11 pps 12/0(0) pkts 1
