------------------------------------------------------------
Client connecting to 10.0.100.17, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.4%uesimtun0 port 53611 connected with 10.0.100.17 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:04:28 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.693 ms 0/13 (0%) 23.389/19.189/27.337/7.718 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.654 ms 0/11 (0%) 24.384/20.682/28.081/2.661 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.396 ms 0/12 (0%) 24.290/20.132/28.771/3.036 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   4.332 ms 0/11 (0%) 24.416/18.681/32.661/4.284 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.166 ms 0/11 (0%) 22.562/19.413/27.263/2.588 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.025 ms 0/12 (0%) 23.087/19.589/27.069/2.623 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.159 ms 0/11 (0%) 22.684/18.116/25.716/2.822 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.458 ms 0/12 (0%) 24.087/18.933/28.917/3.134 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.402 ms 0/11 (0%) 23.899/18.324/27.858/2.741 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  15400 Bytes  123200 bits/sec   5.121 ms 0/11 (0%) 23.089/11.506/28.743/5.507 ms 12 pps 11/0(0) pkts 1
[ *1] 10.00-11.00 sec  16800 Bytes  134400 bits/sec   4.592 ms 0/12 (0%) 23.882/19.012/29.008/3.248 ms 11 pps 12/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.500 ms 0/11 (0%) 23.084/18.813/27.384/2.772 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.016 ms 0/12 (0%) 24.562/20.524/27.486/2.570 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   2.804 ms 0/11 (0%) 22.624/18.917/25.779/2.423 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.043 ms 0/12 (0%) 23.136/19.805/28.069/2.699 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   2.805 ms 0/11 (0%) 22.899/20.108/26.228/2.282 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.241 ms 0/12 (0%) 24.443/17.722/29.958/3.579 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   2.850 ms 0/11 (0%) 24.605/21.112/27.217/1.787 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   2.575 ms 0/11 (0%) 22.852/19.299/25.787/2.307 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   2.937 ms 0/12 (0%) 24.091/19.186/29.981/3.242 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   2.799 ms 0/11 (0%) 24.150/18.487/29.396/3.254 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.501 ms 0/12 (0%) 22.714/17.796/26.956/2.949 ms 12 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.100 ms 0/11 (0%) 23.802/18.373/26.831/2.338 ms 11 pps 11/0(0) pkts 1
