------------------------------------------------------------
Client connecting to 10.0.100.13, UDP port 5060 with pid 58 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.7%uesimtun0 port 49759 connected with 10.0.100.13 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:56:35 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.929 ms 0/13 (0%) 23.723/19.254/27.496/7.735 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   3.567 ms 0/11 (0%) 23.881/17.096/28.090/3.540 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.271 ms 0/12 (0%) 23.476/17.970/27.787/2.730 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.560 ms 0/11 (0%) 23.054/18.610/28.753/3.032 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.653 ms 0/11 (0%) 22.701/18.025/28.509/3.400 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.165 ms 0/12 (0%) 23.100/18.923/26.959/2.501 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.280 ms 0/11 (0%) 23.197/18.861/28.457/2.778 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.445 ms 0/12 (0%) 24.511/20.575/30.735/3.102 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.271 ms 0/11 (0%) 23.187/20.347/26.031/2.203 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  15400 Bytes  123200 bits/sec   3.231 ms 0/11 (0%) 23.158/15.813/27.385/3.141 ms 11 pps 11/0(0) pkts 1
[ *1] 10.00-11.00 sec  16800 Bytes  134400 bits/sec   3.367 ms 0/12 (0%) 24.034/17.230/29.505/3.552 ms 11 pps 12/0(0) pkts 1
