------------------------------------------------------------
Client connecting to 10.0.100.11, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.3%uesimtun0 port 58621 connected with 10.0.100.11 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:56:35 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.521 ms 0/13 (0%) 22.710/19.471/26.797/6.073 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.279 ms 0/11 (0%) 22.842/18.559/27.723/2.690 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   2.790 ms 0/12 (0%) 23.036/18.960/27.259/2.595 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.265 ms 0/11 (0%) 23.179/17.916/28.006/3.051 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.599 ms 0/11 (0%) 22.264/18.816/28.203/3.163 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.663 ms 0/12 (0%) 23.413/18.923/29.418/2.988 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.739 ms 0/11 (0%) 22.946/18.045/27.256/2.728 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   2.982 ms 0/12 (0%) 23.885/20.453/28.260/2.484 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.236 ms 0/11 (0%) 24.268/17.583/31.839/3.628 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.684 ms 0/12 (0%) 24.726/20.551/34.046/3.756 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   4.118 ms 0/11 (0%) 25.139/18.902/33.968/3.918 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.461 ms 0/11 (0%) 23.121/19.644/26.620/2.248 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.662 ms 0/12 (0%) 22.245/17.888/26.218/2.955 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   2.978 ms 0/11 (0%) 24.080/22.065/26.165/1.485 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   2.668 ms 0/12 (0%) 25.569/22.860/28.739/1.817 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   2.885 ms 0/11 (0%) 23.804/19.081/27.956/2.570 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.166 ms 0/12 (0%) 23.035/19.605/27.327/2.534 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   2.881 ms 0/11 (0%) 22.119/15.986/24.878/2.736 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   2.883 ms 0/11 (0%) 21.631/16.974/25.301/2.217 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   2.901 ms 0/12 (0%) 24.446/20.638/27.037/2.068 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   2.948 ms 0/11 (0%) 23.573/17.800/26.849/2.965 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   2.661 ms 0/12 (0%) 24.305/20.754/29.180/2.392 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   2.885 ms 0/11 (0%) 23.544/20.292/26.504/2.013 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.610 ms 0/12 (0%) 23.434/17.336/28.083/3.117 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   2.879 ms 0/11 (0%) 23.340/19.185/27.066/2.834 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.344 ms 0/11 (0%) 24.795/20.089/29.416/2.575 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   2.493 ms 0/12 (0%) 23.955/19.397/28.167/2.762 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   2.661 ms 0/11 (0%) 21.596/17.929/27.221/3.134 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   2.860 ms 0/12 (0%) 25.021/21.256/31.712/2.957 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.902 ms 0/11 (0%) 23.925/19.272/29.630/3.611 ms 11 pps 11/0(0) pkts 1
