------------------------------------------------------------
Client connecting to 10.0.100.7, UDP port 5060 with pid 58 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.6%uesimtun0 port 38498 connected with 10.0.100.7 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:56:35 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   0.999 ms 0/13 (0%) 23.370/19.297/26.018/5.975 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   1.885 ms 0/11 (0%) 22.984/19.712/28.696/2.737 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   2.262 ms 0/12 (0%) 21.836/18.445/24.093/1.820 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   2.544 ms 0/11 (0%) 23.967/20.635/30.325/2.745 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   2.962 ms 0/11 (0%) 24.060/16.108/28.690/4.149 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   2.975 ms 0/12 (0%) 22.828/17.235/26.170/2.988 ms 12 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.298 ms 0/11 (0%) 23.118/18.973/28.217/2.890 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.217 ms 0/12 (0%) 24.081/19.782/30.342/2.914 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.204 ms 0/11 (0%) 24.808/21.212/30.067/2.282 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  15400 Bytes  123200 bits/sec   3.754 ms 0/11 (0%) 23.055/18.626/29.152/3.604 ms 11 pps 11/0(0) pkts 1
[ *1] 10.00-11.00 sec  16800 Bytes  134400 bits/sec   3.143 ms 0/12 (0%) 23.218/19.151/26.402/2.392 ms 11 pps 12/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   2.966 ms 0/11 (0%) 23.010/17.088/26.530/2.656 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   4.174 ms 0/12 (0%) 23.232/18.669/31.236/3.995 ms 12 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.736 ms 0/11 (0%) 22.523/17.958/27.730/2.743 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.723 ms 0/12 (0%) 22.577/15.335/27.793/3.509 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.458 ms 0/11 (0%) 25.916/22.887/29.596/2.236 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.264 ms 0/12 (0%) 22.553/19.004/28.504/3.310 ms 12 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.890 ms 0/11 (0%) 24.301/18.592/29.139/3.687 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   2.470 ms 0/11 (0%) 22.612/20.028/23.804/1.279 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   2.876 ms 0/12 (0%) 24.846/20.635/28.949/2.425 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   2.965 ms 0/11 (0%) 24.612/21.274/29.534/2.454 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   2.736 ms 0/12 (0%) 24.057/18.259/29.460/2.744 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.012 ms 0/11 (0%) 23.374/20.748/28.158/2.295 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  15400 Bytes  123200 bits/sec   3.201 ms 0/11 (0%) 22.075/18.377/28.095/2.894 ms 11 pps 11/0(0) pkts 1
[ *1] 24.00-25.00 sec  16800 Bytes  134400 bits/sec   3.924 ms 0/12 (0%) 23.812/17.854/28.046/3.353 ms 11 pps 12/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.875 ms 0/11 (0%) 23.282/19.036/28.503/3.037 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.315 ms 0/12 (0%) 22.611/17.521/29.447/3.091 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.018 ms 0/11 (0%) 22.588/18.471/27.477/2.736 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.535 ms 0/12 (0%) 23.446/18.453/30.188/3.620 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   4.238 ms 0/11 (0%) 23.564/18.376/33.413/4.270 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   3.193 ms 0/12 (0%) 22.674/19.131/25.766/1.934 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   3.556 ms 0/11 (0%) 22.510/15.782/27.023/3.443 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   3.866 ms 0/11 (0%) 23.925/20.125/30.700/3.590 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   3.842 ms 0/12 (0%) 23.157/17.869/31.367/4.119 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   3.113 ms 0/11 (0%) 23.625/19.934/28.049/2.499 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.327 ms 0/12 (0%) 23.648/18.170/28.804/3.046 ms 12 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   3.211 ms 0/11 (0%) 23.933/18.998/28.027/2.734 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  16800 Bytes  134400 bits/sec   2.651 ms 0/12 (0%) 23.038/19.728/26.118/2.075 ms 11 pps 12/0(0) pkts 1
[ *1] 38.00-39.00 sec  15400 Bytes  123200 bits/sec   2.463 ms 0/11 (0%) 22.714/18.378/26.599/2.487 ms 11 pps 11/0(0) pkts 1
