------------------------------------------------------------
Client connecting to 10.0.100.3, UDP port 5060 with pid 102 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.9%uesimtun0 port 51173 connected with 10.0.100.3 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:56:35 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.799 ms 0/13 (0%) 25.274/20.084/29.847/7.551 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.289 ms 0/11 (0%) 22.458/19.652/27.497/2.439 ms 12 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   2.651 ms 0/12 (0%) 23.720/21.384/27.134/2.136 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   2.772 ms 0/11 (0%) 23.023/18.169/30.993/3.233 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   2.956 ms 0/11 (0%) 21.846/19.275/26.731/2.615 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.104 ms 0/12 (0%) 23.694/20.109/30.914/3.526 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.119 ms 0/11 (0%) 22.267/18.632/27.570/2.537 ms 12 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   4.155 ms 0/12 (0%) 23.679/16.923/28.284/3.460 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.540 ms 0/11 (0%) 22.707/17.334/27.918/2.670 ms 12 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.387 ms 0/12 (0%) 22.842/18.012/27.984/2.843 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.335 ms 0/11 (0%) 22.432/17.393/27.451/3.006 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.010 ms 0/11 (0%) 21.889/16.349/25.654/3.122 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.981 ms 0/12 (0%) 23.114/19.628/31.973/3.749 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.532 ms 0/11 (0%) 24.463/21.342/28.822/2.466 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   4.557 ms 0/12 (0%) 23.947/11.310/30.698/4.697 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   4.293 ms 0/11 (0%) 24.045/17.820/28.652/3.283 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  15400 Bytes  123200 bits/sec   4.196 ms 0/11 (0%) 23.565/18.732/29.452/2.882 ms 12 pps 11/0(0) pkts 1
[ *1] 17.00-18.00 sec  16800 Bytes  134400 bits/sec   3.770 ms 0/12 (0%) 23.682/18.942/27.959/2.726 ms 11 pps 12/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.717 ms 0/11 (0%) 22.346/18.021/27.853/3.334 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.432 ms 0/12 (0%) 24.382/20.088/28.237/2.647 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.576 ms 0/11 (0%) 22.449/18.470/27.431/2.910 ms 12 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.242 ms 0/12 (0%) 24.108/19.917/29.709/2.688 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   2.767 ms 0/11 (0%) 23.445/20.344/26.251/1.832 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  15400 Bytes  123200 bits/sec   3.109 ms 0/11 (0%) 21.919/18.085/26.591/2.565 ms 11 pps 11/0(0) pkts 1
[ *1] 24.00-25.00 sec  16800 Bytes  134400 bits/sec   3.371 ms 0/12 (0%) 23.412/18.673/27.010/2.807 ms 11 pps 12/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.052 ms 0/11 (0%) 22.217/18.192/25.780/2.116 ms 11 pps 11/0(0) pkts 1
