------------------------------------------------------------
Client connecting to 10.0.100.15, UDP port 5060 with pid 58 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.8%uesimtun0 port 39158 connected with 10.0.100.15 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:34:32 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.800 ms 0/13 (0%) 24.600/19.620/29.957/8.213 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.137 ms 0/11 (0%) 23.992/20.837/28.535/2.508 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.529 ms 0/12 (0%) 24.398/20.099/28.338/2.925 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.603 ms 0/11 (0%) 25.593/19.163/31.969/3.821 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   2.937 ms 0/11 (0%) 24.120/19.329/27.103/2.129 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   4.004 ms 0/12 (0%) 22.508/18.139/30.041/3.345 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   4.082 ms 0/11 (0%) 23.179/17.392/29.356/3.374 ms 12 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   2.933 ms 0/12 (0%) 22.141/17.623/25.622/2.146 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.523 ms 0/11 (0%) 22.543/16.638/28.467/3.507 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  15400 Bytes  123200 bits/sec   3.406 ms 0/11 (0%) 22.317/19.019/26.699/2.334 ms 11 pps 11/0(0) pkts 1
[ *1] 10.00-11.00 sec  16800 Bytes  134400 bits/sec   3.025 ms 0/12 (0%) 24.524/20.156/29.142/2.542 ms 11 pps 12/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.465 ms 0/11 (0%) 22.652/17.105/28.714/3.147 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.877 ms 0/12 (0%) 24.803/18.216/30.919/4.052 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   5.059 ms 0/11 (0%) 24.483/18.124/32.703/4.396 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   4.312 ms 0/12 (0%) 23.742/19.599/27.743/2.917 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   4.781 ms 0/11 (0%) 21.746/14.793/26.070/3.897 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   4.009 ms 0/12 (0%) 23.865/16.910/28.594/2.958 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.816 ms 0/11 (0%) 22.644/19.046/26.386/2.724 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.053 ms 0/11 (0%) 23.056/18.330/28.667/2.556 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   2.916 ms 0/12 (0%) 24.775/20.849/28.785/2.564 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.682 ms 0/11 (0%) 22.625/18.001/28.306/3.483 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.618 ms 0/12 (0%) 24.344/21.296/31.660/2.833 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.712 ms 0/11 (0%) 22.761/15.466/26.989/3.443 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.795 ms 0/12 (0%) 22.610/19.120/30.030/3.067 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   3.387 ms 0/11 (0%) 22.472/17.800/25.290/2.434 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   2.920 ms 0/11 (0%) 24.830/20.564/30.314/3.000 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.333 ms 0/12 (0%) 22.688/16.459/28.774/3.379 ms 12 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.358 ms 0/11 (0%) 24.127/18.214/28.335/3.384 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.709 ms 0/12 (0%) 24.798/19.536/32.415/3.525 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   4.056 ms 0/11 (0%) 22.154/16.720/26.513/3.713 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   3.901 ms 0/12 (0%) 23.206/18.171/28.691/2.774 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   3.058 ms 0/11 (0%) 23.579/19.851/27.158/2.056 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   3.390 ms 0/11 (0%) 23.911/15.838/27.380/3.120 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   3.708 ms 0/12 (0%) 23.709/16.371/28.730/3.197 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   2.894 ms 0/11 (0%) 23.572/18.772/26.389/2.314 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.053 ms 0/12 (0%) 23.663/20.441/27.872/2.439 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   2.432 ms 0/11 (0%) 24.919/21.778/27.470/1.837 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  15400 Bytes  123200 bits/sec   2.395 ms 0/11 (0%) 24.226/21.045/28.581/1.938 ms 11 pps 11/0(0) pkts 1
[ *1] 38.00-39.00 sec  16800 Bytes  134400 bits/sec   2.828 ms 0/12 (0%) 24.473/19.125/28.765/3.398 ms 11 pps 12/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   3.123 ms 0/11 (0%) 23.114/19.953/25.966/2.284 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   2.672 ms 0/12 (0%) 23.955/19.706/28.162/2.002 ms 11 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   3.946 ms 0/11 (0%) 24.048/18.295/33.944/4.135 ms 11 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   3.390 ms 0/12 (0%) 22.724/16.645/28.559/2.740 ms 12 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   4.401 ms 0/11 (0%) 24.172/17.850/30.850/4.028 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  15400 Bytes  123200 bits/sec   4.439 ms 0/11 (0%) 24.658/19.727/30.852/3.546 ms 12 pps 11/0(0) pkts 1
[ *1] 45.00-46.00 sec  16800 Bytes  134400 bits/sec   4.394 ms 0/12 (0%) 23.881/16.458/29.084/3.719 ms 11 pps 12/0(0) pkts 1
[ *1] 46.00-47.00 sec  15400 Bytes  123200 bits/sec   3.236 ms 0/11 (0%) 23.769/20.347/26.323/1.846 ms 11 pps 11/0(0) pkts 1
[ *1] 47.00-48.00 sec  16800 Bytes  134400 bits/sec   2.906 ms 0/12 (0%) 24.714/20.636/28.938/2.443 ms 11 pps 12/0(0) pkts 1
[ *1] 48.00-49.00 sec  15400 Bytes  123200 bits/sec   2.436 ms 0/11 (0%) 23.823/19.899/27.690/2.410 ms 11 pps 11/0(0) pkts 1
[ *1] 49.00-50.00 sec  16800 Bytes  134400 bits/sec   2.583 ms 0/12 (0%) 23.764/20.841/30.644/2.933 ms 11 pps 12/0(0) pkts 1
[ *1] 50.00-51.00 sec  15400 Bytes  123200 bits/sec   3.229 ms 0/11 (0%) 24.109/19.499/29.052/3.122 ms 11 pps 11/0(0) pkts 1
[ *1] 51.00-52.00 sec  16800 Bytes  134400 bits/sec   2.535 ms 0/12 (0%) 23.702/20.718/26.265/2.068 ms 11 pps 12/0(0) pkts 1
[ *1] 52.00-53.00 sec  15400 Bytes  123200 bits/sec   2.779 ms 0/11 (0%) 22.487/19.917/27.856/2.256 ms 11 pps 11/0(0) pkts 1
[ *1] 53.00-54.00 sec  15400 Bytes  123200 bits/sec   3.294 ms 0/11 (0%) 21.678/17.486/24.955/2.878 ms 11 pps 11/0(0) pkts 1
[ *1] 54.00-55.00 sec  16800 Bytes  134400 bits/sec   3.154 ms 0/12 (0%) 23.608/17.382/28.444/3.418 ms 11 pps 12/0(0) pkts 1
[ *1] 55.00-56.00 sec  15400 Bytes  123200 bits/sec   3.626 ms 0/11 (0%) 23.087/17.588/28.714/3.786 ms 11 pps 11/0(0) pkts 1
[ *1] 56.00-57.00 sec  16800 Bytes  134400 bits/sec   3.591 ms 0/12 (0%) 23.136/15.551/28.029/3.112 ms 11 pps 12/0(0) pkts 1
[ *1] 57.00-58.00 sec  15400 Bytes  123200 bits/sec   4.098 ms 0/11 (0%) 23.609/17.399/29.508/3.373 ms 11 pps 11/0(0) pkts 1
[ *1] 58.00-59.00 sec  15400 Bytes  123200 bits/sec   4.153 ms 0/11 (0%) 22.423/17.633/27.394/3.330 ms 11 pps 11/0(0) pkts 1
[ *1] 59.00-60.00 sec  16800 Bytes  134400 bits/sec   3.730 ms 0/12 (0%) 23.003/18.392/26.449/2.445 ms 11 pps 12/0(0) pkts 1
