------------------------------------------------------------
Client connecting to 10.0.100.11, UDP port 5060 with pid 58 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.3%uesimtun0 port 39766 connected with 10.0.100.11 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:34:32 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   2.340 ms 0/13 (0%) 24.422/18.668/27.566/8.545 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   3.132 ms 0/11 (0%) 23.891/20.268/29.995/2.794 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.136 ms 0/12 (0%) 23.243/19.385/28.567/2.457 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.148 ms 0/11 (0%) 24.520/19.405/29.398/2.580 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   2.772 ms 0/11 (0%) 22.781/19.171/26.627/2.562 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.102 ms 0/12 (0%) 22.100/15.120/28.257/3.650 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   2.950 ms 0/11 (0%) 25.571/21.508/29.275/2.497 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.421 ms 0/12 (0%) 22.386/17.840/25.561/2.699 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.820 ms 0/11 (0%) 23.306/15.774/29.360/4.528 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.779 ms 0/12 (0%) 23.028/16.017/27.165/3.162 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.816 ms 0/11 (0%) 23.801/18.033/27.100/3.073 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.592 ms 0/11 (0%) 21.983/19.063/26.856/2.402 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   4.199 ms 0/12 (0%) 22.847/17.707/27.586/3.155 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.297 ms 0/11 (0%) 24.152/20.188/28.107/2.263 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.579 ms 0/12 (0%) 22.836/19.894/25.650/2.289 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.278 ms 0/11 (0%) 24.348/19.815/28.646/2.549 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   4.020 ms 0/12 (0%) 22.306/17.240/28.262/3.167 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.839 ms 0/11 (0%) 22.730/17.851/26.465/2.666 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.904 ms 0/11 (0%) 22.181/15.955/26.587/2.971 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   2.578 ms 0/12 (0%) 23.153/19.471/25.588/1.983 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   2.491 ms 0/11 (0%) 22.955/18.618/27.135/2.106 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.118 ms 0/12 (0%) 24.617/18.769/30.708/3.634 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   2.676 ms 0/11 (0%) 22.961/20.866/25.227/1.516 ms 12 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  15400 Bytes  123200 bits/sec   2.558 ms 0/11 (0%) 23.312/19.919/26.267/2.260 ms 11 pps 11/0(0) pkts 1
[ *1] 24.00-25.00 sec  16800 Bytes  134400 bits/sec   3.098 ms 0/12 (0%) 23.204/18.946/29.124/3.513 ms 11 pps 12/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   2.872 ms 0/11 (0%) 21.941/19.010/25.183/1.806 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.287 ms 0/12 (0%) 23.025/18.163/31.095/3.803 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.110 ms 0/11 (0%) 22.554/18.483/25.177/2.233 ms 12 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.290 ms 0/12 (0%) 23.424/19.079/27.050/2.797 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   2.836 ms 0/11 (0%) 23.242/20.268/28.499/2.120 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   2.133 ms 0/12 (0%) 21.809/19.290/24.108/1.947 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   2.458 ms 0/11 (0%) 25.045/20.540/30.477/3.739 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   2.473 ms 0/11 (0%) 23.903/19.026/28.086/2.760 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   2.765 ms 0/12 (0%) 24.213/18.800/29.300/3.194 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   3.420 ms 0/11 (0%) 24.018/19.624/28.626/2.850 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.551 ms 0/12 (0%) 24.168/19.268/29.884/3.150 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   3.299 ms 0/11 (0%) 22.647/18.740/30.583/3.340 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  16800 Bytes  134400 bits/sec   2.725 ms 0/12 (0%) 22.793/19.988/25.875/1.658 ms 12 pps 12/0(0) pkts 1
[ *1] 38.00-39.00 sec  15400 Bytes  123200 bits/sec   3.010 ms 0/11 (0%) 23.785/20.235/28.157/2.809 ms 11 pps 11/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   3.578 ms 0/11 (0%) 22.929/18.731/27.144/3.168 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   4.020 ms 0/12 (0%) 22.298/14.491/27.341/3.253 ms 11 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   4.008 ms 0/11 (0%) 23.468/19.313/28.815/3.670 ms 12 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   3.031 ms 0/12 (0%) 23.708/20.641/27.565/2.038 ms 11 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   2.514 ms 0/11 (0%) 24.935/22.384/28.382/1.521 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  16800 Bytes  134400 bits/sec   3.094 ms 0/12 (0%) 23.286/19.729/27.710/2.571 ms 11 pps 12/0(0) pkts 1
[ *1] 45.00-46.00 sec  15400 Bytes  123200 bits/sec   3.550 ms 0/11 (0%) 23.199/19.149/28.150/3.076 ms 11 pps 11/0(0) pkts 1
[ *1] 46.00-47.00 sec  15400 Bytes  123200 bits/sec   3.818 ms 0/11 (0%) 24.002/18.072/28.932/3.379 ms 11 pps 11/0(0) pkts 1
[ *1] 47.00-48.00 sec  16800 Bytes  134400 bits/sec   2.888 ms 0/12 (0%) 22.608/18.258/25.682/2.065 ms 11 pps 12/0(0) pkts 1
[ *1] 48.00-49.00 sec  15400 Bytes  123200 bits/sec   3.594 ms 0/11 (0%) 24.815/17.058/32.214/4.257 ms 11 pps 11/0(0) pkts 1
[ *1] 49.00-50.00 sec  16800 Bytes  134400 bits/sec   3.742 ms 0/12 (0%) 23.398/17.505/28.621/3.371 ms 11 pps 12/0(0) pkts 1
[ *1] 50.00-51.00 sec  15400 Bytes  123200 bits/sec   4.107 ms 0/11 (0%) 25.112/19.241/30.066/3.162 ms 11 pps 11/0(0) pkts 1
[ *1] 51.00-52.00 sec  15400 Bytes  123200 bits/sec   3.703 ms 0/11 (0%) 23.667/20.270/29.027/3.154 ms 11 pps 11/0(0) pkts 1
[ *1] 52.00-53.00 sec  16800 Bytes  134400 bits/sec   3.168 ms 0/12 (0%) 24.075/20.005/29.473/2.747 ms 11 pps 12/0(0) pkts 1
[ *1] 53.00-54.00 sec  15400 Bytes  123200 bits/sec   3.164 ms 0/11 (0%) 22.118/14.721/26.038/3.199 ms 11 pps 11/0(0) pkts 1
[ *1] 54.00-55.00 sec  16800 Bytes  134400 bits/sec   3.588 ms 0/12 (0%) 23.773/18.769/28.938/3.182 ms 11 pps 12/0(0) pkts 1
[ *1] 55.00-56.00 sec  15400 Bytes  123200 bits/sec   3.130 ms 0/11 (0%) 23.671/20.350/28.762/2.789 ms 11 pps 11/0(0) pkts 1
[ *1] 56.00-57.00 sec  16800 Bytes  134400 bits/sec   2.367 ms 0/12 (0%) 22.681/19.943/26.012/2.105 ms 11 pps 12/0(0) pkts 1
[ *1] 57.00-58.00 sec  15400 Bytes  123200 bits/sec   2.875 ms 0/11 (0%) 23.931/19.339/27.623/2.987 ms 11 pps 11/0(0) pkts 1
[ *1] 58.00-59.00 sec  16800 Bytes  134400 bits/sec   2.493 ms 0/12 (0%) 25.162/22.178/29.968/2.463 ms 11 pps 12/0(0) pkts 1
[ *1] 59.00-60.00 sec  15400 Bytes  123200 bits/sec   3.314 ms 0/11 (0%) 23.696/18.653/27.751/3.155 ms 11 pps 11/0(0) pkts 1
[ *1] 60.00-61.00 sec  15400 Bytes  123200 bits/sec   2.748 ms 0/11 (0%) 25.080/22.003/27.091/1.932 ms 11 pps 11/0(0) pkts 1
