------------------------------------------------------------
Client connecting to 10.0.100.9, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.7%uesimtun0 port 41757 connected with 10.0.100.9 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:34:32 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   3.303 ms 0/13 (0%) 22.928/17.381/28.046/6.847 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   3.631 ms 0/11 (0%) 23.655/16.995/29.105/3.494 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.641 ms 0/12 (0%) 24.705/15.633/32.848/4.466 ms 12 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.581 ms 0/11 (0%) 23.960/20.646/27.534/2.182 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.483 ms 0/11 (0%) 24.010/14.766/28.023/3.441 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.500 ms 0/12 (0%) 22.950/18.605/27.531/2.850 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.139 ms 0/11 (0%) 22.325/19.017/26.023/2.253 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.629 ms 0/12 (0%) 24.137/18.872/29.815/3.013 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.010 ms 0/11 (0%) 24.676/20.479/29.266/2.230 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.398 ms 0/12 (0%) 21.134/15.839/27.219/2.956 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.153 ms 0/11 (0%) 22.153/18.606/26.251/2.584 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.643 ms 0/11 (0%) 24.334/19.286/30.366/3.020 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.012 ms 0/12 (0%) 24.791/21.190/27.465/1.976 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.606 ms 0/11 (0%) 23.189/18.931/29.859/3.465 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.634 ms 0/12 (0%) 23.039/19.174/30.096/3.222 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.573 ms 0/11 (0%) 22.942/18.862/27.456/2.732 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.626 ms 0/12 (0%) 23.217/19.169/28.912/2.928 ms 11 pps 12/0(0) pkts 1
