------------------------------------------------------------
Client connecting to 10.0.100.9, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.7%uesimtun0 port 34158 connected with 10.0.100.9 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 20:08:33 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.091 ms 0/13 (0%) 23.495/21.045/26.860/6.803 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.320 ms 0/11 (0%) 24.463/19.278/28.745/3.191 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.262 ms 0/12 (0%) 23.297/17.321/27.433/3.440 ms 12 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.707 ms 0/11 (0%) 23.456/19.723/28.505/2.777 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   4.030 ms 0/11 (0%) 23.569/15.878/27.520/3.563 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.310 ms 0/12 (0%) 25.026/20.420/28.946/2.923 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   2.906 ms 0/11 (0%) 23.322/19.502/25.986/2.259 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.115 ms 0/12 (0%) 23.849/19.459/27.137/2.465 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   2.969 ms 0/11 (0%) 22.761/20.141/26.226/1.948 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.877 ms 0/12 (0%) 22.864/16.141/29.049/3.906 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.280 ms 0/11 (0%) 24.252/19.666/26.520/2.363 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.075 ms 0/11 (0%) 24.282/19.355/26.999/2.601 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.239 ms 0/12 (0%) 23.028/19.088/26.757/2.463 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   2.830 ms 0/11 (0%) 22.146/18.472/27.362/2.667 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   2.392 ms 0/12 (0%) 23.478/19.812/29.295/2.912 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.219 ms 0/11 (0%) 24.662/18.114/33.331/3.742 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   2.815 ms 0/12 (0%) 24.650/19.959/29.068/2.637 ms 12 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.298 ms 0/11 (0%) 24.840/22.314/32.278/2.868 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.591 ms 0/11 (0%) 25.031/20.543/29.165/3.204 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.852 ms 0/12 (0%) 23.230/18.244/29.262/3.638 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.943 ms 0/11 (0%) 22.521/16.229/28.731/4.385 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.098 ms 0/12 (0%) 21.250/16.230/26.457/2.623 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.464 ms 0/11 (0%) 25.082/18.351/31.166/3.522 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.504 ms 0/12 (0%) 23.245/18.210/27.794/2.794 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   3.935 ms 0/11 (0%) 24.305/16.310/31.390/4.040 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.194 ms 0/11 (0%) 23.642/20.164/27.200/2.290 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.249 ms 0/12 (0%) 24.734/18.899/31.217/3.647 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.114 ms 0/11 (0%) 22.342/16.836/25.404/2.728 ms 12 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   2.908 ms 0/12 (0%) 22.413/19.283/25.502/2.005 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.007 ms 0/11 (0%) 24.294/17.746/27.728/2.843 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   3.484 ms 0/12 (0%) 24.067/19.754/28.092/2.716 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   3.461 ms 0/11 (0%) 22.359/17.355/26.127/2.851 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   3.352 ms 0/11 (0%) 24.401/22.164/29.107/2.389 ms 11 pps 11/0(0) pkts 1
