------------------------------------------------------------
Client connecting to 10.0.100.5, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.2%uesimtun0 port 50616 connected with 10.0.100.5 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:16:29 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.356 ms 0/13 (0%) 24.457/20.030/27.851/8.006 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.054 ms 0/11 (0%) 24.959/20.778/28.544/2.185 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.763 ms 0/12 (0%) 24.133/17.955/33.936/4.208 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.436 ms 0/11 (0%) 23.938/20.413/26.267/1.943 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   4.481 ms 0/11 (0%) 22.561/14.829/29.290/4.195 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   5.060 ms 0/12 (0%) 23.654/14.448/32.415/4.742 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   4.495 ms 0/11 (0%) 24.115/18.637/28.812/3.016 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.732 ms 0/12 (0%) 24.243/18.465/28.836/3.415 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.882 ms 0/11 (0%) 21.759/17.379/25.425/2.873 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  15400 Bytes  123200 bits/sec   3.224 ms 0/11 (0%) 23.564/17.469/26.508/2.384 ms 11 pps 11/0(0) pkts 1
[ *1] 10.00-11.00 sec  16800 Bytes  134400 bits/sec   4.473 ms 0/12 (0%) 24.262/16.182/29.921/4.439 ms 11 pps 12/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   2.824 ms 0/11 (0%) 23.379/20.820/26.922/2.004 ms 12 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.457 ms 0/12 (0%) 24.130/18.338/28.148/3.010 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   4.644 ms 0/11 (0%) 24.631/17.592/32.677/4.495 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   4.088 ms 0/12 (0%) 23.620/18.761/28.218/3.641 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.794 ms 0/11 (0%) 23.770/18.044/27.877/3.595 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.931 ms 0/12 (0%) 23.785/17.609/28.389/3.320 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   4.274 ms 0/11 (0%) 22.707/16.569/28.274/3.777 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.184 ms 0/11 (0%) 22.724/18.879/26.352/1.802 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   2.499 ms 0/12 (0%) 23.488/20.717/26.907/1.972 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.096 ms 0/11 (0%) 22.045/14.447/27.444/3.352 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.254 ms 0/12 (0%) 23.143/18.800/27.273/2.795 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   4.109 ms 0/11 (0%) 24.664/19.476/30.651/3.438 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.761 ms 0/12 (0%) 23.110/19.577/27.139/2.503 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   3.493 ms 0/11 (0%) 23.665/19.515/29.869/3.190 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.804 ms 0/11 (0%) 24.842/20.475/30.948/3.139 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.884 ms 0/12 (0%) 22.826/15.202/28.490/3.521 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.032 ms 0/11 (0%) 22.614/18.395/25.538/1.986 ms 11 pps 11/0(0) pkts 1
