------------------------------------------------------------
Client connecting to 10.0.100.15, UDP port 5060 with pid 58 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.8%uesimtun0 port 50633 connected with 10.0.100.15 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:16:29 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   2.089 ms 0/13 (0%) 25.017/20.463/28.818/8.787 ms 13 pps 13/0(0) pkts 1
[ *1] 0.00-1.00 sec  1 datagrams received out-of-order
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.606 ms 0/11 (0%) 24.949/20.158/29.083/2.993 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.036 ms 0/12 (0%) 23.874/18.482/29.811/3.238 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   2.692 ms 0/11 (0%) 23.423/20.630/26.934/1.954 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.610 ms 0/11 (0%) 22.432/16.478/29.005/4.083 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.730 ms 0/12 (0%) 23.529/19.438/29.450/3.106 ms 12 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   4.157 ms 0/11 (0%) 24.234/18.747/31.278/3.843 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   4.278 ms 0/12 (0%) 22.643/17.116/28.788/3.201 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.537 ms 0/11 (0%) 23.806/18.221/27.371/2.430 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.416 ms 0/12 (0%) 21.905/16.331/25.648/2.691 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.504 ms 0/11 (0%) 25.089/20.155/28.768/2.543 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.458 ms 0/11 (0%) 25.680/20.965/30.379/2.871 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.756 ms 0/12 (0%) 22.904/16.781/29.186/3.169 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.420 ms 0/11 (0%) 24.037/19.104/28.510/2.984 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.611 ms 0/12 (0%) 24.062/16.832/31.345/3.605 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.938 ms 0/11 (0%) 23.593/19.548/28.470/3.266 ms 12 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.208 ms 0/12 (0%) 24.529/20.352/28.579/2.109 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.443 ms 0/11 (0%) 22.771/19.431/25.515/2.316 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.064 ms 0/11 (0%) 22.696/17.218/26.041/2.952 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.549 ms 0/12 (0%) 22.272/19.204/26.966/2.716 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   2.888 ms 0/11 (0%) 23.914/18.651/26.312/2.408 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.259 ms 0/12 (0%) 23.135/17.326/28.134/3.003 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.483 ms 0/11 (0%) 21.959/17.729/24.913/2.425 ms 11 pps 11/0(0) pkts 1
