------------------------------------------------------------
Server listening on UDP port 8080
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[ *1] local 10.0.100.12%eth0 port 8080 connected with 10.0.100.2 port 58602 (reverse) (no-udp-fin) (trip-times) (sock=3) (peer 2.1.1-dev) on 2021-05-25 20:02:33 (UTC)
[ ID] Interval        Transfer     Bandwidth      Write/Err  PPS
[ *1] 68.00-69.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 69.00-70.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 70.00-71.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 71.00-72.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 72.00-73.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 73.00-74.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 74.00-75.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 75.00-76.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 76.00-77.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 77.00-78.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 78.00-79.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 79.00-80.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 80.00-81.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 81.00-82.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 82.00-83.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 83.00-84.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 84.00-85.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 85.00-86.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 86.00-87.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 87.00-88.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 88.00-89.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 89.00-90.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 90.00-91.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 91.00-92.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 92.00-93.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
