------------------------------------------------------------
Server listening on UDP port 8085
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[ *1] local 10.0.120.11%eth0 port 8085 connected with 10.0.120.2 port 43472 (isoch) (reverse) (no-udp-fin) (trip-times) (sock=3) (peer 2.1.1-dev) on 2021-05-25 20:03:33 (UTC)
[ ID] Interval        Transfer     Bandwidth      Write/Err  PPS  isoch:tx/miss/slip
[ *1] 0.00-1.00 sec  524960 Bytes  4199680 bits/sec  387/0      403 pps   26/0/0
[ *1] 1.00-2.00 sec  503220 Bytes  4025760 bits/sec  372/0      372 pps   25/0/0
[ *1] 2.00-3.00 sec  511541 Bytes  4092328 bits/sec  379/0      379 pps   25/0/0
[ *1] 3.00-4.00 sec  506327 Bytes  4050616 bits/sec  372/0      372 pps   25/0/0
[ *1] 4.00-5.00 sec  490163 Bytes  3921304 bits/sec  361/0      361 pps   25/0/0
[ *1] 5.00-6.00 sec  528797 Bytes  4230376 bits/sec  391/0      391 pps   25/0/0
[ *1] 6.00-7.00 sec  491704 Bytes  3933632 bits/sec  366/0      366 pps   25/0/0
[ *1] 7.00-8.00 sec  520894 Bytes  4167152 bits/sec  385/0      385 pps   25/0/0
[ *1] 8.00-9.00 sec  494064 Bytes  3952512 bits/sec  365/0      365 pps   25/0/0
[ *1] 9.00-10.00 sec  541634 Bytes  4333072 bits/sec  397/0      397 pps   25/0/0
[ *1] 10.00-11.00 sec  458956 Bytes  3671648 bits/sec  338/0      338 pps   25/0/0
[ *1] 11.00-12.00 sec  509734 Bytes  4077872 bits/sec  376/0      376 pps   25/0/0
[ *1] 12.00-13.00 sec  517271 Bytes  4138168 bits/sec  381/0      381 pps   25/0/0
[ *1] 13.00-14.00 sec  505689 Bytes  4045512 bits/sec  377/0      377 pps   25/0/0
[ *1] 14.00-15.00 sec  467645 Bytes  3741160 bits/sec  347/0      347 pps   25/0/0
[ *1] 15.00-16.00 sec  522453 Bytes  4179624 bits/sec  388/0      388 pps   25/0/0
[ *1] 16.00-17.00 sec  556383 Bytes  4451064 bits/sec  411/0      411 pps   25/0/0
[ *1] 17.00-18.00 sec  518175 Bytes  4145400 bits/sec  383/0      383 pps   25/0/0
[ *1] 18.00-19.00 sec  534117 Bytes  4272936 bits/sec  394/0      394 pps   25/0/0
[ *1] 19.00-20.00 sec  481411 Bytes  3851288 bits/sec  357/0      357 pps   25/0/0
[ *1] 20.00-21.00 sec  517009 Bytes  4136072 bits/sec  384/0      384 pps   25/0/0
[ *1] 21.00-22.00 sec  458549 Bytes  3668392 bits/sec  342/0      342 pps   25/0/0
[ *1] 22.00-23.00 sec  514930 Bytes  4119440 bits/sec  380/0      380 pps   25/0/0
[ *1] 23.00-24.00 sec  483571 Bytes  3868568 bits/sec  356/0      356 pps   25/0/0
[ *1] 24.00-25.00 sec  506771 Bytes  4054168 bits/sec  376/0      376 pps   25/0/0
[ *1] 25.00-26.00 sec  511930 Bytes  4095440 bits/sec  377/0      377 pps   25/0/0
[ *1] 26.00-27.00 sec  472942 Bytes  3783536 bits/sec  351/0      351 pps   25/0/0
[ *1] 27.00-28.00 sec  481749 Bytes  3853992 bits/sec  355/0      355 pps   25/0/0
[ *1] 28.00-29.00 sec  547291 Bytes  4378328 bits/sec  402/0      402 pps   25/0/0
[ *1] 29.00-30.00 sec  515949 Bytes  4127592 bits/sec  382/0      382 pps   25/0/0
[ *1] 30.00-31.00 sec  435982 Bytes  3487856 bits/sec  323/0      323 pps   25/0/0
[ *1] 31.00-32.00 sec  515636 Bytes  4125088 bits/sec  381/0      381 pps   25/0/0
[ *1] 32.00-33.00 sec  468555 Bytes  3748440 bits/sec  347/0      347 pps   25/0/0
[ *1] 33.00-34.00 sec  469958 Bytes  3759664 bits/sec  349/0      349 pps   25/0/0
[ *1] 34.00-35.00 sec  514956 Bytes  4119648 bits/sec  381/0      381 pps   25/0/0
[ *1] 35.00-36.00 sec  495625 Bytes  3965000 bits/sec  367/0      367 pps   25/0/0
[ *1] 36.00-37.00 sec  508552 Bytes  4068416 bits/sec  377/0      377 pps   25/0/0
[ *1] 37.00-38.00 sec  453855 Bytes  3630840 bits/sec  338/0      338 pps   25/0/0
[ *1] 38.00-39.00 sec  500304 Bytes  4002432 bits/sec  373/0      373 pps   25/0/0
[ *1] 39.00-40.00 sec  504866 Bytes  4038928 bits/sec  371/0      371 pps   25/0/0
[ *1] 40.00-41.00 sec  515210 Bytes  4121680 bits/sec  380/0      380 pps   25/0/0
[ *1] 41.00-42.00 sec  488501 Bytes  3908008 bits/sec  361/0      361 pps   25/0/0
[ *1] 42.00-43.00 sec  514032 Bytes  4112256 bits/sec  379/0      379 pps   25/0/0
[ *1] 43.00-44.00 sec  503723 Bytes  4029784 bits/sec  371/0      371 pps   25/0/0
[ *1] 44.00-45.00 sec  528060 Bytes  4224480 bits/sec  391/0      391 pps   25/0/0
[ *1] 45.00-46.00 sec  559392 Bytes  4475136 bits/sec  411/0      411 pps   25/0/0
[ *1] 46.00-47.00 sec  483668 Bytes  3869344 bits/sec  359/0      359 pps   25/0/0
[ *1] 47.00-48.00 sec  488379 Bytes  3907032 bits/sec  362/0      362 pps   25/0/0
[ *1] 48.00-49.00 sec  513628 Bytes  4109024 bits/sec  379/0      379 pps   25/0/0
[ *1] 49.00-50.00 sec  487933 Bytes  3903464 bits/sec  362/0      362 pps   25/0/0
[ *1] 50.00-51.00 sec  512202 Bytes  4097616 bits/sec  379/0      379 pps   25/0/0
[ *1] 51.00-52.00 sec  484278 Bytes  3874224 bits/sec  359/0      359 pps   25/0/0
[ *1] 52.00-53.00 sec  470926 Bytes  3767408 bits/sec  350/0      350 pps   25/0/0
[ *1] 53.00-54.00 sec  524320 Bytes  4194560 bits/sec  388/0      388 pps   25/0/0
[ *1] 54.00-55.00 sec  526662 Bytes  4213296 bits/sec  391/0      391 pps   25/0/0
[ *1] 55.00-56.00 sec  468858 Bytes  3750864 bits/sec  346/0      346 pps   25/0/0
[ *1] 56.00-57.00 sec  513686 Bytes  4109488 bits/sec  381/0      381 pps   25/0/0
[ *1] 57.00-58.00 sec  494935 Bytes  3959480 bits/sec  368/0      368 pps   25/0/0
[ *1] 58.00-59.00 sec  492146 Bytes  3937168 bits/sec  364/0      364 pps   25/0/0
[ *1] 59.00-60.00 sec  506143 Bytes  4049144 bits/sec  375/0      375 pps   25/0/0
[ *1] 60.00-61.00 sec  523450 Bytes  4187600 bits/sec  385/0      385 pps   25/0/0
[ *1] 61.00-62.00 sec  477025 Bytes  3816200 bits/sec  353/0      353 pps   25/0/0
[ *1] 62.00-63.00 sec  526550 Bytes  4212400 bits/sec  391/0      391 pps   25/0/0
[ *1] 63.00-64.00 sec  521381 Bytes  4171048 bits/sec  382/0      382 pps   25/0/0
[ *1] 64.00-65.00 sec  524360 Bytes  4194880 bits/sec  386/0      386 pps   25/0/0
[ *1] 65.00-66.00 sec  504660 Bytes  4037280 bits/sec  374/0      374 pps   25/0/0
[ *1] 66.00-67.00 sec  510827 Bytes  4086616 bits/sec  377/0      377 pps   25/0/0
[ *1] 67.00-68.00 sec  496491 Bytes  3971928 bits/sec  364/0      364 pps   25/0/0
[ *1] 68.00-69.00 sec  554913 Bytes  4439304 bits/sec  407/0      407 pps   25/0/0
[ *1] 69.00-70.00 sec  506319 Bytes  4050552 bits/sec  374/0      374 pps   25/0/0
[ *1] 70.00-71.00 sec  528192 Bytes  4225536 bits/sec  388/0      388 pps   25/0/0
[ *1] 71.00-72.00 sec  556043 Bytes  4448344 bits/sec  410/0      410 pps   25/0/0
[ *1] 72.00-73.00 sec  505859 Bytes  4046872 bits/sec  375/0      375 pps   25/0/0
[ *1] 73.00-74.00 sec  456480 Bytes  3651840 bits/sec  338/0      338 pps   25/0/0
[ *1] 74.00-75.00 sec  503284 Bytes  4026272 bits/sec  376/0      376 pps   25/0/0
[ *1] 75.00-76.00 sec  464193 Bytes  3713544 bits/sec  343/0      343 pps   25/0/0
[ *1] 76.00-77.00 sec  492791 Bytes  3942328 bits/sec  368/0      368 pps   25/0/0
[ *1] 77.00-78.00 sec  532932 Bytes  4263456 bits/sec  390/0      390 pps   25/0/0
[ *1] 78.00-79.00 sec  477313 Bytes  3818504 bits/sec  352/0      352 pps   25/0/0
[ *1] 79.00-80.00 sec  469578 Bytes  3756624 bits/sec  349/0      349 pps   25/0/0
[ *1] 80.00-81.00 sec  519389 Bytes  4155112 bits/sec  381/0      381 pps   25/0/0
[ *1] 81.00-82.00 sec  484951 Bytes  3879608 bits/sec  361/0      361 pps   25/0/0
[ *1] 82.00-83.00 sec  495113 Bytes  3960904 bits/sec  367/0      367 pps   25/0/0
[ *1] 83.00-84.00 sec  499975 Bytes  3999800 bits/sec  371/0      371 pps   25/0/0
[ *1] 84.00-85.00 sec  475023 Bytes  3800184 bits/sec  355/0      355 pps   25/0/0
[ *1] 85.00-86.00 sec  457702 Bytes  3661616 bits/sec  340/0      340 pps   25/0/0
[ *1] 86.00-87.00 sec  500005 Bytes  4000040 bits/sec  369/0      369 pps   25/0/0
[ *1] 87.00-88.00 sec  449629 Bytes  3597032 bits/sec  335/0      335 pps   25/0/0
[ *1] 88.00-89.00 sec  544376 Bytes  4355008 bits/sec  401/0      401 pps   25/0/0
[ *1] 89.00-90.00 sec  478971 Bytes  3831768 bits/sec  355/0      355 pps   25/0/0
[ *1] 90.00-91.00 sec  526811 Bytes  4214488 bits/sec  385/0      385 pps   25/0/0
[ *1] 91.00-92.00 sec  510925 Bytes  4087400 bits/sec  380/0      380 pps   25/0/0
[ *1] 92.00-93.00 sec  519523 Bytes  4156184 bits/sec  385/0      385 pps   25/0/0
[ *1] 93.00-94.00 sec  523208 Bytes  4185664 bits/sec  385/0      385 pps   25/0/0
[ *1] 94.00-95.00 sec  504974 Bytes  4039792 bits/sec  374/0      374 pps   25/0/0
[ *1] 95.00-96.00 sec  544906 Bytes  4359248 bits/sec  401/0      401 pps   25/0/0
[ *1] 96.00-97.00 sec  510376 Bytes  4083008 bits/sec  378/0      378 pps   25/0/0
[ *1] 97.00-98.00 sec  568701 Bytes  4549608 bits/sec  418/0      418 pps   25/0/0
[ *1] 98.00-99.00 sec  533055 Bytes  4264440 bits/sec  394/0      394 pps   25/0/0
[ *1] 99.00-100.00 sec  501885 Bytes  4015080 bits/sec  370/0      370 pps   25/0/0
[ *1] 100.00-101.00 sec  489267 Bytes  3914136 bits/sec  360/0      360 pps   25/0/0
[ *1] 101.00-102.00 sec  505365 Bytes  4042920 bits/sec  374/0      374 pps   25/0/0
[ *1] 102.00-103.00 sec  505203 Bytes  4041624 bits/sec  373/0      373 pps   25/0/0
[ *1] 103.00-104.00 sec  504611 Bytes  4036888 bits/sec  373/0      373 pps   25/0/0
[ *1] 104.00-105.00 sec  458588 Bytes  3668704 bits/sec  339/0      339 pps   25/0/0
[ *1] 105.00-106.00 sec  508070 Bytes  4064560 bits/sec  375/0      375 pps   25/0/0
[ *1] 106.00-107.00 sec  473245 Bytes  3785960 bits/sec  351/0      351 pps   25/0/0
[ *1] 107.00-108.00 sec  507749 Bytes  4061992 bits/sec  374/0      374 pps   25/0/0
[ *1] 108.00-109.00 sec  476691 Bytes  3813528 bits/sec  354/0      354 pps   25/0/0
[ *1] 109.00-110.00 sec  513468 Bytes  4107744 bits/sec  380/0      380 pps   25/0/0
[ *1] 110.00-111.00 sec  491892 Bytes  3935136 bits/sec  363/0      363 pps   25/0/0
[ *1] 111.00-112.00 sec  547759 Bytes  4382072 bits/sec  404/0      404 pps   25/0/0
[ *1] 112.00-113.00 sec  500014 Bytes  4000112 bits/sec  370/0      370 pps   25/0/0
[ *1] 113.00-114.00 sec  509274 Bytes  4074192 bits/sec  376/0      376 pps   25/0/0
[ *1] 114.00-115.00 sec  479357 Bytes  3834856 bits/sec  355/0      355 pps   25/0/0
[ *1] 115.00-116.00 sec  519291 Bytes  4154328 bits/sec  382/0      382 pps   25/0/0
[ *1] 116.00-117.00 sec  436774 Bytes  3494192 bits/sec  324/0      324 pps   25/0/0
[ *1] 117.00-118.00 sec  469267 Bytes  3754136 bits/sec  347/0      347 pps   25/0/0
[ *1] 118.00-119.00 sec  511385 Bytes  4091080 bits/sec  378/0      378 pps   25/0/0
[ *1] 119.00-120.00 sec  527486 Bytes  4219888 bits/sec  390/0      390 pps   25/0/0
[ *1] 120.00-121.00 sec  498234 Bytes  3985872 bits/sec  373/0      373 pps   25/0/0
[ *1] 121.00-122.00 sec  452010 Bytes  3616080 bits/sec  338/0      338 pps   25/0/0
[ *1] 122.00-123.00 sec  520871 Bytes  4166968 bits/sec  382/0      382 pps   25/0/0
[ *1] 123.00-124.00 sec  530298 Bytes  4242384 bits/sec  389/0      389 pps   25/0/0
[ *1] 124.00-125.00 sec  472908 Bytes  3783264 bits/sec  349/0      349 pps   25/0/0
[ *1] 125.00-126.00 sec  525859 Bytes  4206872 bits/sec  390/0      390 pps   25/0/0
[ *1] 126.00-127.00 sec  532540 Bytes  4260320 bits/sec  393/0      393 pps   25/0/0
[ *1] 127.00-128.00 sec  469425 Bytes  3755400 bits/sec  350/0      350 pps   25/0/0
[ *1] 128.00-129.00 sec  490861 Bytes  3926888 bits/sec  362/0      362 pps   25/0/0
[ *1] 129.00-130.00 sec  545816 Bytes  4366528 bits/sec  401/0      401 pps   25/0/0
[ *1] 130.00-131.00 sec  527948 Bytes  4223584 bits/sec  389/0      389 pps   25/0/0
[ *1] 131.00-132.00 sec  509397 Bytes  4075176 bits/sec  376/0      376 pps   25/0/0
[ *1] 132.00-133.00 sec  490269 Bytes  3922152 bits/sec  361/0      361 pps   25/0/0
