------------------------------------------------------------
Client connecting to 10.0.100.13, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.6%uesimtun0 port 53593 connected with 10.0.100.13 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 20:22:59 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.824 ms 0/13 (0%) 23.076/17.930/29.991/6.917 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   3.395 ms 0/11 (0%) 23.403/18.592/28.572/3.264 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   3.823 ms 0/12 (0%) 23.795/18.786/29.565/3.085 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   2.894 ms 0/11 (0%) 22.074/20.136/26.436/2.066 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.934 ms 0/11 (0%) 23.954/18.753/31.458/3.819 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   4.009 ms 0/12 (0%) 22.135/15.193/27.423/3.484 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   4.360 ms 0/11 (0%) 23.373/17.629/28.662/3.247 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   4.223 ms 0/12 (0%) 23.029/19.450/29.595/2.937 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.592 ms 0/11 (0%) 22.917/19.040/27.605/2.610 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.752 ms 0/12 (0%) 24.276/19.235/30.224/3.044 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   4.697 ms 0/11 (0%) 23.515/17.717/27.805/3.757 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.213 ms 0/11 (0%) 22.208/20.493/24.322/1.251 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.824 ms 0/12 (0%) 23.827/18.699/28.148/2.900 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   4.057 ms 0/11 (0%) 23.595/18.377/29.426/3.510 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.500 ms 0/12 (0%) 24.068/20.111/29.028/2.970 ms 12 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.263 ms 0/11 (0%) 22.524/19.819/26.586/2.308 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  15400 Bytes  123200 bits/sec   3.266 ms 0/11 (0%) 22.957/19.570/27.473/3.059 ms 11 pps 11/0(0) pkts 1
[ *1] 17.00-18.00 sec  16800 Bytes  134400 bits/sec   3.838 ms 0/12 (0%) 22.980/16.259/27.807/3.452 ms 11 pps 12/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.992 ms 0/11 (0%) 23.024/18.672/28.309/2.882 ms 11 pps 11/0(0) pkts 1
