------------------------------------------------------------
Client connecting to 10.0.100.5, UDP port 5060 with pid 58 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.2%uesimtun0 port 49305 connected with 10.0.100.5 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 20:22:58 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.794 ms 0/13 (0%) 23.233/17.906/26.491/7.917 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.413 ms 0/11 (0%) 24.794/21.021/27.463/2.254 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   2.955 ms 0/12 (0%) 23.230/18.339/30.555/3.386 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   3.380 ms 0/11 (0%) 22.519/17.092/30.175/3.746 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.340 ms 0/11 (0%) 24.360/21.435/30.549/2.615 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.315 ms 0/12 (0%) 23.480/20.172/27.101/2.450 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   2.434 ms 0/11 (0%) 23.749/21.066/25.838/1.748 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   3.524 ms 0/12 (0%) 22.771/15.918/28.791/4.300 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.019 ms 0/11 (0%) 23.878/18.968/27.008/2.653 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   2.600 ms 0/12 (0%) 21.657/19.030/25.199/1.913 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   2.975 ms 0/11 (0%) 23.754/19.626/29.139/2.950 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   2.194 ms 0/11 (0%) 22.240/19.998/24.263/1.301 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   2.488 ms 0/12 (0%) 24.106/20.162/30.487/2.781 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   2.160 ms 0/11 (0%) 23.619/20.916/28.750/2.138 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.300 ms 0/12 (0%) 22.520/15.434/28.059/3.359 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.282 ms 0/11 (0%) 22.717/16.187/28.412/3.037 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.348 ms 0/12 (0%) 21.585/16.789/25.654/2.439 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.269 ms 0/11 (0%) 24.421/20.853/27.140/2.407 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.974 ms 0/11 (0%) 22.949/18.747/27.800/3.233 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.205 ms 0/12 (0%) 24.945/21.586/29.342/2.103 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.433 ms 0/11 (0%) 24.475/14.720/28.269/3.566 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.067 ms 0/12 (0%) 22.984/18.322/30.177/3.310 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.327 ms 0/11 (0%) 23.874/19.589/27.417/2.923 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  15400 Bytes  123200 bits/sec   3.280 ms 0/11 (0%) 24.742/19.970/27.804/2.800 ms 11 pps 11/0(0) pkts 1
[ *1] 24.00-25.00 sec  16800 Bytes  134400 bits/sec   3.570 ms 0/12 (0%) 24.370/19.891/30.823/3.508 ms 11 pps 12/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.398 ms 0/11 (0%) 21.828/18.146/26.165/2.653 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.222 ms 0/12 (0%) 22.767/19.162/29.115/2.665 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   4.449 ms 0/11 (0%) 23.667/16.249/31.577/4.639 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.416 ms 0/12 (0%) 23.847/19.226/29.246/2.505 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.725 ms 0/11 (0%) 24.148/19.031/27.601/2.691 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  15400 Bytes  123200 bits/sec   3.151 ms 0/11 (0%) 23.998/21.222/28.544/2.195 ms 12 pps 11/0(0) pkts 1
[ *1] 31.00-32.00 sec  16800 Bytes  134400 bits/sec   3.538 ms 0/12 (0%) 23.207/19.155/29.593/3.452 ms 11 pps 12/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   2.858 ms 0/11 (0%) 22.164/19.158/24.962/1.722 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   4.406 ms 0/12 (0%) 23.648/18.167/32.430/4.469 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   3.395 ms 0/11 (0%) 21.430/19.521/24.676/1.652 ms 12 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.584 ms 0/12 (0%) 23.003/18.448/28.239/2.919 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   4.838 ms 0/11 (0%) 23.356/14.759/29.837/4.161 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  16800 Bytes  134400 bits/sec   3.444 ms 0/12 (0%) 24.495/21.791/28.532/2.357 ms 11 pps 12/0(0) pkts 1
[ *1] 38.00-39.00 sec  15400 Bytes  123200 bits/sec   3.511 ms 0/11 (0%) 23.221/18.820/28.664/3.403 ms 11 pps 11/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   3.255 ms 0/11 (0%) 22.888/17.418/26.649/2.622 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   3.136 ms 0/12 (0%) 25.467/18.779/29.279/2.819 ms 11 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   3.776 ms 0/11 (0%) 24.440/19.388/29.340/2.892 ms 11 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   3.884 ms 0/12 (0%) 23.743/18.254/28.909/3.500 ms 11 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   3.976 ms 0/11 (0%) 23.080/18.442/29.286/3.539 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  16800 Bytes  134400 bits/sec   3.362 ms 0/12 (0%) 24.452/20.953/28.742/2.541 ms 11 pps 12/0(0) pkts 1
[ *1] 45.00-46.00 sec  15400 Bytes  123200 bits/sec   3.828 ms 0/11 (0%) 24.899/20.674/31.086/3.654 ms 11 pps 11/0(0) pkts 1
[ *1] 46.00-47.00 sec  15400 Bytes  123200 bits/sec   3.872 ms 0/11 (0%) 23.761/14.983/28.314/3.608 ms 11 pps 11/0(0) pkts 1
[ *1] 47.00-48.00 sec  16800 Bytes  134400 bits/sec   2.929 ms 0/12 (0%) 23.116/16.803/24.837/2.169 ms 11 pps 12/0(0) pkts 1
[ *1] 48.00-49.00 sec  15400 Bytes  123200 bits/sec   2.542 ms 0/11 (0%) 21.662/18.931/26.830/2.421 ms 11 pps 11/0(0) pkts 1
[ *1] 49.00-50.00 sec  16800 Bytes  134400 bits/sec   2.975 ms 0/12 (0%) 22.396/18.091/27.185/2.717 ms 11 pps 12/0(0) pkts 1
[ *1] 50.00-51.00 sec  15400 Bytes  123200 bits/sec   3.346 ms 0/11 (0%) 23.035/19.272/29.969/2.978 ms 11 pps 11/0(0) pkts 1
[ *1] 51.00-52.00 sec  15400 Bytes  123200 bits/sec   2.872 ms 0/11 (0%) 25.395/22.705/29.202/2.337 ms 11 pps 11/0(0) pkts 1
[ *1] 52.00-53.00 sec  16800 Bytes  134400 bits/sec   2.536 ms 0/12 (0%) 23.159/19.351/26.920/2.219 ms 11 pps 12/0(0) pkts 1
[ *1] 53.00-54.00 sec  15400 Bytes  123200 bits/sec   4.006 ms 0/11 (0%) 23.305/14.991/29.033/4.337 ms 11 pps 11/0(0) pkts 1
[ *1] 54.00-55.00 sec  16800 Bytes  134400 bits/sec   3.275 ms 0/12 (0%) 22.688/16.515/26.753/2.835 ms 11 pps 12/0(0) pkts 1
[ *1] 55.00-56.00 sec  15400 Bytes  123200 bits/sec   3.033 ms 0/11 (0%) 22.504/18.812/26.545/2.782 ms 11 pps 11/0(0) pkts 1
[ *1] 56.00-57.00 sec  16800 Bytes  134400 bits/sec   3.300 ms 0/12 (0%) 23.077/19.208/27.335/2.873 ms 11 pps 12/0(0) pkts 1
[ *1] 57.00-58.00 sec  15400 Bytes  123200 bits/sec   3.927 ms 0/11 (0%) 22.881/17.697/30.775/3.448 ms 11 pps 11/0(0) pkts 1
[ *1] 58.00-59.00 sec  16800 Bytes  134400 bits/sec   2.573 ms 0/12 (0%) 24.088/21.896/26.074/1.296 ms 11 pps 12/0(0) pkts 1
[ *1] 59.00-60.00 sec  15400 Bytes  123200 bits/sec   3.717 ms 0/11 (0%) 22.820/16.975/26.616/3.142 ms 11 pps 11/0(0) pkts 1
[ *1] 60.00-61.00 sec  15400 Bytes  123200 bits/sec   4.041 ms 0/11 (0%) 23.588/17.491/28.251/3.714 ms 11 pps 11/0(0) pkts 1
[ *1] 61.00-62.00 sec  16800 Bytes  134400 bits/sec   3.435 ms 0/12 (0%) 23.370/18.848/26.956/2.820 ms 12 pps 12/0(0) pkts 1
[ *1] 62.00-63.00 sec  15400 Bytes  123200 bits/sec   2.931 ms 0/11 (0%) 21.844/17.351/24.245/2.507 ms 11 pps 11/0(0) pkts 1
[ *1] 63.00-64.00 sec  16800 Bytes  134400 bits/sec   2.958 ms 0/12 (0%) 24.001/21.097/29.320/2.780 ms 11 pps 12/0(0) pkts 1
[ *1] 64.00-65.00 sec  15400 Bytes  123200 bits/sec   3.239 ms 0/11 (0%) 22.869/17.463/26.945/2.664 ms 11 pps 11/0(0) pkts 1
[ *1] 65.00-66.00 sec  15400 Bytes  123200 bits/sec   3.034 ms 0/11 (0%) 22.344/19.024/26.580/2.366 ms 12 pps 11/0(0) pkts 1
