------------------------------------------------------------
Server listening on UDP port 8085
TOS will be set to 0x30
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 172.16.9.9%eth0 port 8085 connected with 172.16.9.2 port 54946 (isoch) (reverse) (no-udp-fin) (trip-times) (sock=3) (tos rx=0x30) (peer 2.1.8-rc)
[ ID] Interval        Transfer     Bandwidth      Write/Err  PPS  isoch:tx/miss/slip
[  1] 61.00-62.00 sec  477025 Bytes  3816200 bits/sec  0/0      353 pps   25/0/0
[  1] 62.00-63.00 sec  526550 Bytes  4212400 bits/sec  0/0      391 pps   25/0/0
[  1] 63.00-64.00 sec  521381 Bytes  4171048 bits/sec  0/0      382 pps   25/0/0
[  1] 64.00-65.00 sec  524360 Bytes  4194880 bits/sec  0/0      386 pps   25/0/0
[  1] 65.00-66.00 sec  504660 Bytes  4037280 bits/sec  0/0      374 pps   25/0/0
[  1] 66.00-67.00 sec  510827 Bytes  4086616 bits/sec  0/0      377 pps   25/0/0
[  1] 67.00-68.00 sec  496491 Bytes  3971928 bits/sec  0/0      364 pps   25/0/0
[  1] 68.00-69.00 sec  554913 Bytes  4439304 bits/sec  0/0      407 pps   25/0/0
[  1] 69.00-70.00 sec  506319 Bytes  4050552 bits/sec  0/0      374 pps   25/0/0
[  1] 70.00-71.00 sec  528192 Bytes  4225536 bits/sec  0/0      388 pps   25/0/0
[  1] 71.00-72.00 sec  556043 Bytes  4448344 bits/sec  0/0      410 pps   25/0/0
[  1] 72.00-73.00 sec  505859 Bytes  4046872 bits/sec  0/0      375 pps   25/0/0
[  1] 73.00-74.00 sec  456480 Bytes  3651840 bits/sec  0/0      338 pps   25/0/0
[  1] 74.00-75.00 sec  503284 Bytes  4026272 bits/sec  0/0      376 pps   25/0/0
[  1] 75.00-76.00 sec  464193 Bytes  3713544 bits/sec  0/0      343 pps   25/0/0
[  1] 76.00-77.00 sec  492791 Bytes  3942328 bits/sec  0/0      368 pps   25/0/0
[  1] 77.00-78.00 sec  532932 Bytes  4263456 bits/sec  0/0      390 pps   25/0/0
[  1] 78.00-79.00 sec  477313 Bytes  3818504 bits/sec  0/0      352 pps   25/0/0
[  1] 79.00-80.00 sec  469578 Bytes  3756624 bits/sec  0/0      349 pps   25/0/0
[  1] 80.00-81.00 sec  519389 Bytes  4155112 bits/sec  0/0      381 pps   25/0/0
[  1] 81.00-82.00 sec  484951 Bytes  3879608 bits/sec  0/0      361 pps   25/0/0
[  1] 82.00-83.00 sec  495113 Bytes  3960904 bits/sec  0/0      367 pps   25/0/0
[  1] 83.00-84.00 sec  499975 Bytes  3999800 bits/sec  0/0      371 pps   25/0/0
[  1] 84.00-85.00 sec  475023 Bytes  3800184 bits/sec  0/0      355 pps   25/0/0
[  1] 85.00-86.00 sec  457702 Bytes  3661616 bits/sec  0/0      340 pps   25/0/0
[  1] 86.00-87.00 sec  500005 Bytes  4000040 bits/sec  0/0      369 pps   25/0/0
[  1] 87.00-88.00 sec  449629 Bytes  3597032 bits/sec  0/0      335 pps   25/0/0
[  1] 88.00-89.00 sec  544376 Bytes  4355008 bits/sec  0/0      401 pps   25/0/0
[  1] 89.00-90.00 sec  478971 Bytes  3831768 bits/sec  0/0      355 pps   25/0/0
[  1] 90.00-91.00 sec  526811 Bytes  4214488 bits/sec  0/0      385 pps   25/0/0
[  1] 91.00-92.00 sec  510925 Bytes  4087400 bits/sec  0/0      380 pps   25/0/0
[  1] 92.00-93.00 sec  519523 Bytes  4156184 bits/sec  0/0      385 pps   25/0/0
[  1] 93.00-94.00 sec  523208 Bytes  4185664 bits/sec  0/0      385 pps   25/0/0
[  1] 94.00-95.00 sec  504974 Bytes  4039792 bits/sec  0/0      374 pps   25/0/0
[  1] 95.00-96.00 sec  544906 Bytes  4359248 bits/sec  0/0      401 pps   25/0/0
[  1] 96.00-97.00 sec  510376 Bytes  4083008 bits/sec  0/0      378 pps   25/0/0
[  1] 97.00-98.00 sec  568701 Bytes  4549608 bits/sec  0/0      418 pps   25/0/0
[  1] 98.00-99.00 sec  533055 Bytes  4264440 bits/sec  0/0      394 pps   25/0/0
[  1] 99.00-100.00 sec  501885 Bytes  4015080 bits/sec  0/0      370 pps   25/0/0
[  1] 100.00-101.00 sec  489267 Bytes  3914136 bits/sec  0/0      360 pps   25/0/0
[  1] 101.00-102.00 sec  505365 Bytes  4042920 bits/sec  0/0      374 pps   25/0/0
[  1] 102.00-103.00 sec  505203 Bytes  4041624 bits/sec  0/0      373 pps   25/0/0
[  1] 103.00-104.00 sec  504611 Bytes  4036888 bits/sec  0/0      373 pps   25/0/0
[  1] 104.00-105.00 sec  458588 Bytes  3668704 bits/sec  0/0      339 pps   25/0/0
[  1] 105.00-106.00 sec  508070 Bytes  4064560 bits/sec  0/0      375 pps   25/0/0
[  1] 106.00-107.00 sec  473245 Bytes  3785960 bits/sec  0/0      351 pps   25/0/0
[  1] 107.00-108.00 sec  507749 Bytes  4061992 bits/sec  0/0      374 pps   25/0/0
[  1] 108.00-109.00 sec  476691 Bytes  3813528 bits/sec  0/0      354 pps   25/0/0
[  1] 109.00-110.00 sec  513468 Bytes  4107744 bits/sec  0/0      380 pps   25/0/0
[  1] 110.00-111.00 sec  491892 Bytes  3935136 bits/sec  0/0      363 pps   25/0/0
[  1] 111.00-112.00 sec  547759 Bytes  4382072 bits/sec  0/0      404 pps   25/0/0
[  1] 112.00-113.00 sec  500014 Bytes  4000112 bits/sec  0/0      370 pps   25/0/0
[  1] 113.00-114.00 sec  509274 Bytes  4074192 bits/sec  0/0      376 pps   25/0/0
[  1] 114.00-115.00 sec  479357 Bytes  3834856 bits/sec  0/0      355 pps   25/0/0
[  1] 115.00-116.00 sec  519291 Bytes  4154328 bits/sec  0/0      382 pps   25/0/0
[  1] 116.00-117.00 sec  436774 Bytes  3494192 bits/sec  0/0      324 pps   25/0/0
[  1] 117.00-118.00 sec  469267 Bytes  3754136 bits/sec  0/0      347 pps   25/0/0
[  1] 118.00-119.00 sec  511385 Bytes  4091080 bits/sec  0/0      378 pps   25/0/0
[  1] 119.00-120.00 sec  527486 Bytes  4219888 bits/sec  0/0      390 pps   25/0/0
[  1] 0.00-120.00 sec  60360495 Bytes  4024025 bits/sec  0/0      372 pps  3001/0/0
[  1] Sent 44627 datagrams
