------------------------------------------------------------
Server listening on UDP port 8085
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[ *1] local 10.0.110.8%eth0 port 8085 connected with 10.0.110.2 port 46442 (isoch) (reverse) (no-udp-fin) (trip-times) (sock=3) (peer 2.1.1-dev) on 2021-05-25 19:00:13 (UTC)
[ ID] Interval        Transfer     Bandwidth      Write/Err  PPS  isoch:tx/miss/slip
[ *1] 78.00-79.00 sec  1204834 Bytes  9638672 bits/sec  872/0      872 pps   25/0/0
[ *1] 79.00-80.00 sec  1188020 Bytes  9504160 bits/sec  861/0      861 pps   25/0/0
[ *1] 80.00-81.00 sec  1290639 Bytes  10325112 bits/sec  934/0      933 pps   25/0/0
[ *1] 81.00-82.00 sec  1217121 Bytes  9736968 bits/sec  881/0      882 pps   25/0/0
[ *1] 82.00-83.00 sec  1239134 Bytes  9913072 bits/sec  898/0      898 pps   25/0/0
[ *1] 83.00-84.00 sec  1250183 Bytes  10001464 bits/sec  905/0      905 pps   25/0/0
[ *1] 84.00-85.00 sec  1199748 Bytes  9597984 bits/sec  869/0      869 pps   25/0/0
[ *1] 85.00-86.00 sec  1163351 Bytes  9306808 bits/sec  842/0      842 pps   25/0/0
[ *1] 86.00-87.00 sec  1251135 Bytes  10009080 bits/sec  907/0      908 pps   25/0/0
[ *1] 87.00-88.00 sec  1148813 Bytes  9190504 bits/sec  833/0      832 pps   25/0/0
[ *1] 88.00-89.00 sec  1335803 Bytes  10686424 bits/sec  967/0      967 pps   25/0/0
[ *1] 89.00-90.00 sec  1207987 Bytes  9663896 bits/sec  876/0      875 pps   25/0/0
[ *1] 90.00-91.00 sec  1302602 Bytes  10420816 bits/sec  944/0      945 pps   25/0/0
[ *1] 91.00-92.00 sec  1273176 Bytes  10185408 bits/sec  919/0      919 pps   25/0/0
[ *1] 92.00-93.00 sec  1291300 Bytes  10330400 bits/sec  933/0      932 pps   25/0/0
[ *1] 93.00-94.00 sec  1295153 Bytes  10361224 bits/sec  939/0      940 pps   25/0/0
[ *1] 94.00-95.00 sec  1258630 Bytes  10069040 bits/sec  911/0      911 pps   25/0/0
[ *1] 95.00-96.00 sec  1338974 Bytes  10711792 bits/sec  969/0      968 pps   25/0/0
[ *1] 96.00-97.00 sec  1272674 Bytes  10181392 bits/sec  923/0      923 pps   25/0/0
[ *1] 97.00-98.00 sec  1385794 Bytes  11086352 bits/sec  1004/0     1003 pps   25/0/0
[ *1] 98.00-99.00 sec  1316491 Bytes  10531928 bits/sec  956/0      957 pps   25/0/0
[ *1] 99.00-100.00 sec  1254089 Bytes  10032712 bits/sec  910/0      910 pps   25/0/0
[ *1] 100.00-101.00 sec  1230530 Bytes  9844240 bits/sec  891/0      890 pps   25/0/0
[ *1] 101.00-102.00 sec  1258402 Bytes  10067216 bits/sec  910/0      911 pps   25/0/0
[ *1] 102.00-103.00 sec  1261528 Bytes  10092224 bits/sec  912/0      912 pps   25/0/0
[ *1] 103.00-104.00 sec  1260441 Bytes  10083528 bits/sec  914/0      914 pps   25/0/0
[ *1] 104.00-105.00 sec  1165932 Bytes  9327456 bits/sec  846/0      847 pps   25/0/0
[ *1] 105.00-106.00 sec  1265100 Bytes  10120800 bits/sec  915/0      914 pps   25/0/0
[ *1] 106.00-107.00 sec  1194541 Bytes  9556328 bits/sec  867/0      867 pps   25/0/0
[ *1] 107.00-108.00 sec  1266215 Bytes  10129720 bits/sec  919/0      920 pps   25/0/0
[ *1] 108.00-109.00 sec  1203209 Bytes  9625672 bits/sec  872/0      871 pps   25/0/0
[ *1] 109.00-110.00 sec  1279111 Bytes  10232888 bits/sec  925/0      926 pps   25/0/0
[ *1] 110.00-111.00 sec  1235714 Bytes  9885712 bits/sec  891/0      891 pps   25/0/0
[ *1] 111.00-112.00 sec  1342661 Bytes  10741288 bits/sec  971/0      970 pps   25/0/0
[ *1] 112.00-113.00 sec  1250446 Bytes  10003568 bits/sec  904/0      904 pps   25/0/0
[ *1] 113.00-114.00 sec  1268092 Bytes  10144736 bits/sec  919/0      919 pps   25/0/0
[ *1] 114.00-115.00 sec  1208473 Bytes  9667784 bits/sec  873/0      874 pps   25/0/0
[ *1] 115.00-116.00 sec  1288622 Bytes  10308976 bits/sec  932/0      931 pps   25/0/0
[ *1] 116.00-117.00 sec  1120699 Bytes  8965592 bits/sec  812/0      813 pps   25/0/0
[ *1] 117.00-118.00 sec  1190419 Bytes  9523352 bits/sec  864/0      864 pps   25/0/0
[ *1] 118.00-119.00 sec  1271629 Bytes  10173032 bits/sec  920/0      920 pps   25/0/0
[ *1] 119.00-120.00 sec  1303586 Bytes  10428688 bits/sec  944/0      944 pps   25/0/0
[ *1] 120.00-121.00 sec  1246839 Bytes  9974712 bits/sec  904/0      904 pps   25/0/0
[ *1] 121.00-122.00 sec  1150620 Bytes  9204960 bits/sec  833/0      833 pps   25/0/0
[ *1] 122.00-123.00 sec  1290079 Bytes  10320632 bits/sec  935/0      935 pps   25/0/0
[ *1] 123.00-124.00 sec  1309021 Bytes  10472168 bits/sec  947/0      947 pps   25/0/0
[ *1] 124.00-125.00 sec  1196769 Bytes  9574152 bits/sec  866/0      866 pps   25/0/0
[ *1] 125.00-126.00 sec  1300925 Bytes  10407400 bits/sec  941/0      941 pps   25/0/0
[ *1] 126.00-127.00 sec  1314584 Bytes  10516672 bits/sec  952/0      952 pps   25/0/0
[ *1] 127.00-128.00 sec  1189666 Bytes  9517328 bits/sec  862/0      862 pps   25/0/0
[ *1] 128.00-129.00 sec  1232006 Bytes  9856048 bits/sec  893/0      893 pps   25/0/0
[ *1] 129.00-130.00 sec  1339130 Bytes  10713040 bits/sec  969/0      968 pps   25/0/0
[ *1] 130.00-131.00 sec  1308443 Bytes  10467544 bits/sec  948/0      949 pps   25/0/0
[ *1] 131.00-132.00 sec  1267406 Bytes  10139248 bits/sec  917/0      916 pps   25/0/0
[ *1] 132.00-133.00 sec  1232406 Bytes  9859248 bits/sec  892/0      893 pps   25/0/0
[ *1] 133.00-134.00 sec  1202515 Bytes  9620120 bits/sec  870/0      870 pps   25/0/0
[ *1] 134.00-135.00 sec  1172247 Bytes  9377976 bits/sec  848/0      848 pps   25/0/0
[ *1] 135.00-136.00 sec  1108697 Bytes  8869576 bits/sec  804/0      804 pps   25/0/0
[ *1] 136.00-137.00 sec  1249386 Bytes  9995088 bits/sec  905/0      905 pps   25/0/0
[ *1] 137.00-138.00 sec  1266393 Bytes  10131144 bits/sec  917/0      917 pps   25/0/0
